0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/joshlong/lucene-spring-boot-starter-root/0.0.1/lucene-spring-boot-starter-root-0.0.1.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/joshlong/lucene-spring-boot-starter-root/0.0.11/lucene-spring-boot-starter-root-0.0.11.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/joshlong/lucene-spring-boot-starter-root/0.0.12/lucene-spring-boot-starter-root-0.0.12.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/joshlong/lucene-spring-boot-starter-root/0.0.13/lucene-spring-boot-starter-root-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/joshlong/lucene-spring-boot-starter-root/0.0.14/lucene-spring-boot-starter-root-0.0.14.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/joshlong/lucene-spring-boot-starter-root/0.0.2/lucene-spring-boot-starter-root-0.0.2.jar returned status 404
