6.0.0		2016-07-15T17:35:00Z	
6.0.1		2016-07-18T18:34:54Z	
6.0.2		2016-07-20T16:17:10Z	
6.0.3		2016-07-21T18:07:42Z	
6.0.4		2016-07-27T18:11:50Z	
6.0.5		2016-09-22T08:40:21Z	
6.1.0-alpha		2016-11-09T15:55:34Z	
6.1.1-beta		2016-11-28T16:54:26Z	
6.1.10		2016-12-19T10:32:02Z	
6.1.100		2017-07-11T13:27:19Z	
6.1.101		2017-07-17T12:13:34Z	
6.1.102		2017-08-17T15:58:08Z	
6.1.103		2017-08-23T14:45:43Z	
6.1.104		2017-08-24T05:26:49Z	
6.1.105		2017-08-29T09:57:31Z	
6.1.106		2017-08-29T11:44:58Z	
6.1.107		2017-09-19T09:41:04Z	
6.1.108		2017-09-20T14:38:45Z	
6.1.109		2017-09-20T15:42:45Z	
6.1.11		2016-12-19T17:18:55Z	
6.1.110		2017-09-25T12:55:16Z	
6.1.111		2017-09-25T18:17:51Z	
6.1.112		2017-09-28T02:29:40Z	
6.1.113		2017-10-04T12:26:30Z	
6.1.114		2017-10-19T10:13:57Z	
6.1.115		2017-10-19T11:02:37Z	
6.1.116		2017-10-19T13:11:13Z	
6.1.117		2017-10-25T07:50:35Z	
6.1.118		2017-10-25T12:15:46Z	
6.1.119		2017-10-25T13:54:37Z	
6.1.12		2016-12-20T12:06:17Z	
6.1.120		2017-10-25T15:30:33Z	
6.1.121		2017-10-25T16:22:56Z	
6.1.122		2017-10-26T13:06:30Z	
6.1.123		2017-10-26T16:56:02Z	
6.1.124		2017-10-29T15:41:16Z	
6.1.125		2017-10-30T17:40:40Z	
6.1.126		2017-10-30T19:48:43Z	
6.1.127		2017-10-31T12:32:53Z	
6.1.128		2017-10-31T14:20:15Z	
6.1.129		2017-11-01T15:45:19Z	
6.1.13		2016-12-20T12:46:40Z	
6.1.130		2017-11-08T10:26:06Z	
6.1.131		2017-11-09T09:56:25Z	
6.1.132		2017-11-09T12:41:13Z	
6.1.133		2017-11-10T10:11:27Z	
6.1.134		2017-11-11T15:44:44Z	
6.1.135		2017-11-13T11:24:12Z	
6.1.136		2017-11-13T12:14:37Z	
6.1.137		2017-11-14T04:00:18Z	
6.1.138		2017-11-14T05:44:57Z	
6.1.139		2017-11-14T09:38:41Z	
6.1.14		2016-12-20T13:13:33Z	
6.1.140		2017-11-15T05:14:14Z	
6.1.141		2017-11-17T04:00:52Z	
6.1.142		2017-11-17T09:45:11Z	
6.1.143		2017-11-17T18:35:03Z	
6.1.144		2017-11-20T07:31:58Z	
6.1.145		2017-11-20T09:18:22Z	
6.1.146		2017-11-20T10:09:33Z	
6.1.147		2017-11-21T10:26:18Z	
6.1.148		2017-11-22T10:30:11Z	
6.1.149		2017-11-23T14:56:54Z	
6.1.15		2016-12-21T12:37:02Z	
6.1.150		2017-11-24T14:45:21Z	
6.1.151		2017-11-27T11:12:35Z	
6.1.16		2016-12-21T17:42:51Z	
6.1.18		2016-12-23T07:23:18Z	
6.1.19		2016-12-23T13:43:46Z	
6.1.2		2016-12-16T10:15:18Z	
6.1.20		2017-01-02T12:46:34Z	
6.1.21		2017-01-02T13:38:28Z	
