4.6.0	named	fr.inria.corese	corese-core	2024-10-29T15:35:46Z	20240303
5.0.0	named	de.fraunhofer.iem	HeadlessJavaScanner	2025-06-23T17:52:20Z	20250517
5.0.0	named	de.fraunhofer.iem	HeadlessAndroidScanner	2025-06-23T17:52:28Z	20250517
6.2.1	named	com.aliyun.opensearch	aliyun-sdk-opensearch	2025-07-24T02:31:28Z	20250517
5.0.1	named	de.fraunhofer.iem	HeadlessAndroidScanner	2025-08-14T16:28:41Z	20250517
5.0.1	named	de.fraunhofer.iem	HeadlessJavaScanner	2025-08-14T16:28:41Z	20250517
6.3.0	named	com.aliyun.opensearch	aliyun-sdk-opensearch	2025-12-19T02:38:57Z	20250517
6.4.0	named	com.aliyun.opensearch	aliyun-sdk-opensearch	2026-01-29T08:46:53Z	20250517
