org.json	allowed
com.aliyun.opensearch	rejected
com.epam.reportportal	rejected
com.github.karsaig	rejected
com.guicedee.modules.services	rejected
com.guicedee.services	rejected
com.joshuadamian	rejected
com.jwebmp	rejected
com.jwebmp.jre11	rejected
com.jwebmp.thirdparty	rejected
com.liferay.faces	rejected
com.salesforce.dockerfile-image-update	rejected
com.smartbear	rejected
com.xhc-bot	rejected
de.fraunhofer.iem	rejected
fr.flowarg	rejected
fr.inria.corese	rejected
fr.milekat	rejected
io.firebolt	rejected
io.gitee.gzcltech.mvp	rejected
io.github.bareboneslib	rejected
io.github.coho04	rejected
io.github.dasilvafg	rejected
io.github.funcbox-i3	rejected
io.github.izycorp	rejected
io.github.lemonjuice95	rejected
io.github.milkdrinkers	rejected
io.github.projectunified	rejected
io.github.xtemplus	rejected
io.swagger.codegen.v3	rejected
net.rk4z.s1	rejected
net.rossonet.waldot	rejected
org.indiankanoon	rejected
org.labkey.api	rejected
org.primefaces	rejected
org.test-charm	rejected
