org.apache.logging.log4j	allowed
at.ac.ait.lablink	rejected
au.org.consumerdatastandards	rejected
br.com.acolita	rejected
ca.uhn.hapi.fhir	rejected
cn.bugstack.wrench	rejected
cn.net.mugui	rejected
cn.web3er.wrench	rejected
co.actioniq	rejected
co.elastic.apm	rejected
com.4paradigm.openmldb	rejected
com.adobe.campaign.tests.bridge.service	rejected
com.alertavert	rejected
com.alibaba.dts.client	rejected
com.alibaba.lindorm	rejected
com.alibaba.ververica	rejected
com.aliyun.mq	rejected
com.ardikars.jxnet	rejected
com.arloor	rejected
com.arpitos	rejected
com.artnaseef	rejected
com.bladecoder.packr	rejected
com.chinanetcenter.wcs.sdk	rejected
com.codoid.products	rejected
com.corporate-startup	rejected
com.crealytics	rejected
com.criteo.java	rejected
com.datarobot	rejected
com.dimajix.flowman	rejected
com.dlsc.workbenchfx	rejected
com.enjin	rejected
com.erudika	rejected
com.feedzai	rejected
com.formulasearchengine	rejected
com.github.answerail	rejected
com.github.aquality-automation	rejected
com.github.broadinstitute	rejected
com.github.bytegriffin	rejected
com.github.code-cubic	rejected
com.github.containersolutions	rejected
com.github.daggerok.sonar	rejected
com.github.emc-mongoose	rejected
com.github.harbby	rejected
com.github.hi-fi	rejected
com.github.java-heap-dump-sanitizer	rejected
com.github.joselion	rejected
com.github.nhenneaux.jersey.jetty.http2	rejected
com.github.oboehm	rejected
com.github.onbass-naga	rejected
com.github.pankajkrastogi	rejected
com.github.pellierd	rejected
com.github.pinterest	rejected
com.github.quickstart-nt-996	rejected
com.github.rockylomo	rejected
com.github.skapral.poetryclub	rejected
com.github.spoonlabs	rejected
com.github.spoonlabs.coming	rejected
com.github.tornaia	rejected
com.github.vzakharchenko	rejected
com.github.xeroapi	rejected
com.github.xincao9	rejected
com.google.cloud.bigtable	rejected
com.googlecode.blaisemath	rejected
com.groupbyinc	rejected
com.guardsquare	rejected
com.hedera.hashgraph	rejected
com.helger.en16931	rejected
com.hpe.adm.octane.ciplugins	rejected
com.ibm.galasa	rejected
com.ibm.ta.sdk	rejected
com.intel.analytics.bigdl	rejected
com.intel.analytics.zoo	rejected
com.jkoolcloud.tnt4j.stream	rejected
com.jkoolcloud.tnt4j.streams	rejected
com.jpaulmorrison	rejected
com.khubla.olmreader	rejected
com.labs64.netlicensing	rejected
com.leanxcale	rejected
com.limemojito.oss.aws	rejected
com.lucidworks.spark	rejected
com.macasaet.fernet	rejected
com.megafarad	rejected
com.melahn	rejected
com.microsoft.azure	rejected
com.mobius-software.protocols.sip	rejected
com.naah69	rejected
com.navercorp.pinpoint	rejected
com.netflix.conductor	rejected
com.nimblygames.packr	rejected
com.oceanprotocol	rejected
com.outr	rejected
com.palantir.fork.com.github.johnrengelman	rejected
com.qiniu	rejected
com.robotaccomplice	rejected
com.rovio.ingest	rejected
com.sagframe	rejected
com.sap.research.security.vulas	rejected
com.shr25.mirai	rejected
com.sigpwned	rejected
com.site24x7	rejected
com.snowflake	rejected
com.spotify.ffwd	rejected
com.sqream	rejected
com.squareup.misk	rejected
com.tencent.cloud	rejected
com.theartos	rejected
com.trendyol	rejected
com.urbanairship	rejected
com.ververica	rejected
com.vibeiq.contrail-java-sdk	rejected
com.webforj	rejected
com.weblyzard.sparql	rejected
com.weicoder.extend	rejected
com.whirvis	rejected
com.yahoo.bullet	rejected
com.yahoo.validatar	rejected
com.yandex.ydb	rejected
cz.o2.proxima	rejected
de.charite.compbio	rejected
de.codecentric	rejected
de.dfki.mary	rejected
de.fraunhofer.iem	rejected
de.ipk-gatersleben	rejected
de.klg71.keycloakmigration	rejected
de.pirckheimer-gymnasium	rejected
de.rwth.i2	rejected
de.sfuhrm	rejected
de.swingbe.ifleet	rejected
de.uni-mannheim.informatik.dws.winter	rejected
de.wenzlaff.blockchain	rejected
de.wenzlaff.linkchecker	rejected
de.wenzlaff.twbibel	rejected
de.wenzlaff.twhackssh	rejected
dev.mauch	rejected
dk.dma.ais.lib	rejected
es.bsc.dataclay	rejected
es.us.isa	rejected
eu.bittrade.libs	rejected
eu.cyber-geiger	rejected
eu.europa.ec.eurostat	rejected
eu.fthevenet	rejected
eu.stamp-project	rejected
eu.toop	rejected
fr.inrae.toulouse.metexplore	rejected
fr.inria.corese	rejected
fr.inria.gforge.spoon	rejected
fr.inria.repairnator	rejected
fr.lirmm.graphik	rejected
fun.wswj.wrench	rejected
hu.simplexion.adaptive	rejected
info.folone	rejected
io.anserini	rejected
io.apiman	rejected
io.arenadata.hive	rejected
io.callstats	rejected
io.camunda	rejected
io.carrotdata	rejected
io.cellery.distribution	rejected
io.cellery.security	rejected
io.contek.morphling	rejected
io.daos	rejected
io.etcd	rejected
io.fixprotocol.orchestra	rejected
io.gitee.kould	rejected
io.gitee.soulgoodmans	rejected
io.github.AnLaVN	rejected
io.github.ArtyomPanfutov	rejected
io.github.amit-singh-lt	rejected
io.github.basilapi	rejected
io.github.beehive-lab	rejected
io.github.bigbird-0101	rejected
io.github.biometix	rejected
io.github.changebooks	rejected
io.github.colinzhu	rejected
io.github.cores-plus	rejected
io.github.daone-dadp	rejected
io.github.egonw	rejected
io.github.flowsphere-projects	rejected
io.github.giis-uniovi	rejected
io.github.java-doe	rejected
io.github.lasselindqvist	rejected
io.github.lxgaming	rejected
io.github.marszhangzhixing	rejected
io.github.mathieusoysal	rejected
io.github.mderevyankoaqa	rejected
io.github.molamolaxxx	rejected
io.github.opentelekomcloud	rejected
io.github.protobuf-x	rejected
io.github.quiethappiness	rejected
io.github.rsv-code	rejected
io.github.sanctuuary	rejected
io.github.shiruka	rejected
io.github.shroman	rejected
io.github.solven-eu.cleanthat	rejected
io.github.sun1391237686	rejected
io.github.uwegeercken	rejected
io.github.warnotte	rejected
io.github.wosni	rejected
io.github.xiaoyudeguang	rejected
io.github.yogboot	rejected
io.github.yuru0589	rejected
io.github.yusufsdiscordbot	rejected
io.github.zhouzhoucoder	rejected
io.github.zhp1221	rejected
io.hkube	rejected
io.javaoperatorsdk	rejected
io.keploy	rejected
io.kestra.plugin	rejected
io.michaelrocks.pablo	rejected
io.microservices.tools.canvas	rejected
io.mosip.biosdk	rejected
io.mosip.image.compressor	rejected
io.mosip.kernel	rejected
io.mosip.mock.sdk	rejected
io.mosip.registrationprocessor	rejected
io.nosqlbench	rejected
io.protostuff	rejected
io.pyroscope	rejected
io.scalecube	rejected
io.streamnative	rejected
io.streamnative.pulsar.handlers	rejected
io.thundra.agent	rejected
io.thundra.plugin	rejected
io.trino	rejected
io.vertigo	rejected
io.vitess	rejected
io.zeebe	rejected
me.escoffier.fluid	rejected
net.cg4j	rejected
net.dryuf.maven.plugin	rejected
net.mamoe	rejected
net.sf.automatic-report-generator	rejected
net.sf.ennahdi	rejected
net.sf.ennahdi.automatic-report-generator	rejected
nl.basjes.parse.useragent	rejected
org.alindner.cish	rejected
org.apache.bahir	rejected
org.apache.calcite.avatica	rejected
org.apache.doris	rejected
org.apache.flink	rejected
org.apache.hadoop	rejected
org.apache.hbase.operator.tools	rejected
org.apache.hive	rejected
org.apache.hudi	rejected
org.apache.inlong	rejected
org.apache.jena	rejected
org.apache.knox	rejected
org.apache.kylin	rejected
org.apache.meecrowave	rejected
org.apache.pinot	rejected
org.apache.pulsar	rejected
org.apache.seatunnel	rejected
org.apache.servicemix.bundles	rejected
org.apache.storm	rejected
org.apache.tika	rejected
org.bitbucket.bradleysmithllc.etlunit	rejected
org.camunda.bpm.extension.dmn.scala	rejected
org.chenile	rejected
org.cometd.java	rejected
org.dataconservancy.pass	rejected
org.dblock.log4jna	rejected
org.du-lab.adap-big	rejected
org.eclipse.ecsp	rejected
org.eclipse.glsp.example	rejected
org.eclipse.pass	rejected
org.eclipse.steady	rejected
org.elasticflow	rejected
org.evolvis.tartools	rejected
org.filteredpush	rejected
org.finra.herd	rejected
org.flexiblepower.defpi	rejected
org.genomicsdb	rejected
org.grapheco.pandadb	rejected
org.graylog2	rejected
org.hotrodorm.hotrod	rejected
org.hpccsystems	rejected
org.ibissource	rejected
org.imixs.bpmn	rejected
org.inria.sacha.automaticRepair	rejected
org.into-cps.maestro	rejected
org.jboss.pnc.bifrost	rejected
org.jboss.pnc.logprocessor	rejected
org.jmisb	rejected
org.jzenith	rejected
org.lasersonlab.thredds	rejected
org.linqs	rejected
org.lucee	rejected
org.meeuw	rejected
org.n52.arctic-sea	rejected
org.neo4j	rejected
org.nocrala	rejected
org.nocrala.tools.database.sentinel	rejected
org.odpi.egeria	rejected
org.openimaj	rejected
org.openimaj.tools	rejected
org.opennms.nephron	rejected
org.ops4j.pax.logging	rejected
org.powertac	rejected
org.revapi	rejected
org.robotframework	rejected
org.seaborne.rdf-delta	rejected
org.simonscode	rejected
org.spdx	rejected
org.tallison.lucene	rejected
org.tbee.xml2xxx	rejected
org.telegram	rejected
org.verdictdb	rejected
org.vincenzolabs	rejected
org.wetator	rejected
org.wordinator	rejected
org.wso2.am.choreo.connect	rejected
org.wso2.carbon.identity.tools	rejected
org.wso2.performance.common	rejected
org.zowe.client.java.sdk	rejected
p6spy	rejected
pink.catty	rejected
software.amazon.appflow	rejected
tech.streamsoft	rejected
top.coenocyte.wrench	rejected
top.mrxiaom	rejected
top.populus	rejected
uk.ac.cam.ch.wwmm.oscar	rejected
uk.gov.nca.graph	rejected
us.abstracta.jmeter	rejected
xyz.gianlu.librespot	rejected
xyz.rogfam	rejected
za.co.absa.hyperdrive	rejected
