jakarta.xml.bind	allowed
ch.exense.step	rejected
com.bandwidth.sdk	rejected
com.github.bld-commons	rejected
com.github.bogdanlivadariu	rejected
com.github.dozermapper	rejected
com.guicedee.services	rejected
com.helger.schematron	rejected
com.intuit.quickbooks-online	rejected
com.jcabi	rejected
com.nomalab	rejected
com.orientechnologies	rejected
com.testdroid	rejected
gov.nasa.pds	rejected
io.dscope.camel	rejected
io.github.rzo1.org.sweble.wikitext	rejected
it.netgrid	rejected
mx.com.sw.services	rejected
net.anotheria	rejected
net.sf.automatic-report-generator	rejected
net.sf.ennahdi.automatic-report-generator	rejected
net.sf.xsd2pgschema	rejected
one.gfw	rejected
org.apache.tomee	rejected
org.biopax.validator	rejected
org.camunda.community.webmodeler	rejected
org.chenile	rejected
org.glassfish.tyrus.bundles	rejected
org.glassfish.tyrus.ext	rejected
org.moskito	rejected
org.openfolder	rejected
org.openpreservation.odf	rejected
org.pipservices	rejected
pro.verron.office-stamper	rejected
