jakarta.annotation	allowed
be.vlaanderen.informatievlaanderen.vsds	rejected
com.affinidi.tdk	rejected
com.datadoghq	rejected
com.guicedee.services	rejected
com.heroku	rejected
com.intuit.quickbooks-online	rejected
com.jcabi	rejected
com.segment.analytics.java	rejected
de.fraunhofer.sit.sse.flowdroid	rejected
io.github.camaine	rejected
io.github.mitsumi-solutions-develop	rejected
io.github.n1ckl0sk0rtge	rejected
io.github.openfeign.querydsl	rejected
io.journify	rejected
io.quarkus	rejected
net.welen.jmole	rejected
one.gfw	rejected
org.apache.tomcat	rejected
org.eclipse.ecsp	rejected
org.grails	rejected
