1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/mathokkil/android-badge-count/1.0.0/android-badge-count-1.0.0.jar returned status 404
1.1.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/mathokkil/android-badge-count/1.1.13/android-badge-count-1.1.13.jar returned status 404
1.1.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/mathokkil/android-badge-count/1.1.14/android-badge-count-1.1.14.jar returned status 404
1.1.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/mathokkil/android-badge-count/1.1.44/android-badge-count-1.1.44.jar returned status 404
