0.1.0	codes.domix	fun-assertj	0.1.0
0.0.15	codes.domix	fun-assertj	0.0.15
0.0.14	codes.domix	fun-assertj	0.0.14
0.0.13	codes.domix	fun-assertj	0.0.13
