0.5.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/rxbilling-google-play-library-v3/0.5.0/rxbilling-google-play-library-v3-0.5.0.jar returned status 404
0.6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/rxbilling-google-play-library-v3/0.6.0/rxbilling-google-play-library-v3-0.6.0.jar returned status 404
0.7.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/rxbilling-google-play-library-v3/0.7.0/rxbilling-google-play-library-v3-0.7.0.jar returned status 404
0.7.0	debug-javadoc	2022-06-21T09:21:06Z	
0.7.0	debug-sources	2022-06-21T09:21:07Z	
0.7.0	release-javadoc	2022-06-21T09:21:07Z	
0.7.0	release-sources	2022-06-21T09:21:07Z	
