0.10.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/rxbilling-google-play-library-v5/0.10.0/rxbilling-google-play-library-v5-0.10.0.jar returned status 404
0.7.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/rxbilling-google-play-library-v5/0.7.0/rxbilling-google-play-library-v5-0.7.0.jar returned status 404
0.7.0	debug-javadoc	2022-06-21T09:22:31Z	
0.7.0	debug-sources	2022-06-21T09:22:31Z	
0.7.0	release-javadoc	2022-06-21T09:22:30Z	
0.7.0	release-sources	2022-06-21T09:22:30Z	
0.8.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/rxbilling-google-play-library-v5/0.8.0/rxbilling-google-play-library-v5-0.8.0.jar returned status 404
0.9.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/rxbilling-google-play-library-v5/0.9.0/rxbilling-google-play-library-v5-0.9.0.jar returned status 404
