0.6.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/emoji-kotlin/0.6.0/emoji-kotlin-0.6.0.jar returned status 404
0.7.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/emoji-kotlin/0.7.0/emoji-kotlin-0.7.0.jar returned status 404
0.8.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/emoji-kotlin/0.8.0/emoji-kotlin-0.8.0.jar returned status 404
0.9.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/vanniktech/emoji-kotlin/0.9.0/emoji-kotlin-0.9.0.jar returned status 404
0.9.0	debug-javadoc	2022-04-09T11:04:52Z	
0.9.0	debug-sources	2022-04-09T11:04:52Z	
0.9.0	release-javadoc	2022-04-09T11:04:51Z	
0.9.0	release-sources	2022-04-09T11:04:51Z	
