3.3.1	io.github.connellite	jcl-core	3.3.1
3.3	io.github.connellite	jcl-core	3.3
3.2	io.github.connellite	jcl-core	3.2
3.1	io.github.connellite	jcl-core	3.1
3.0	io.github.connellite	jcl-core	3.0
