org.ow2.asm	allowed
be.ugent.idlab.knows	blocked
ca.mcgill.sable	blocked
ch.ifocusit.livingdoc	blocked
ch.ninecode.cim	blocked
cn.hyperchain	blocked
com.alibaba.fastffi	blocked
com.alibaba.graphscope	blocked
com.alibaba.jvm.sandbox	blocked
com.alibaba.p3c	blocked
com.att.ajsc	blocked
com.baidu.cfc	blocked
com.bmuschko	blocked
com.cloudogu.versionName	blocked
com.codeborne	blocked
com.codenameone	blocked
com.datadoghq	blocked
com.datastax.junitpytest	blocked
com.distkv	blocked
com.exasol	blocked
com.finbourne	blocked
com.github	blocked
com.github.collinalpert	blocked
com.github.fk7075	blocked
com.github.hi-fi	blocked
com.github.houbbbbb	blocked
com.github.jnr	blocked
com.github.liuzhengyang	blocked
com.github.lucadruda	blocked
com.github.luxlang	blocked
com.github.marketsquare	blocked
com.github.masonm	blocked
com.github.nawforce	blocked
com.github.priytam	blocked
com.github.rockylomo	blocked
com.github.roskart.dropwizard-jaxws	blocked
com.github.rssh	blocked
com.github.saikrishna321	blocked
com.github.tomakehurst	blocked
com.google.gerrit	blocked
com.google.template	blocked
com.graphaware.neo4j	blocked
com.heapanalytics.android	blocked
com.hexadevlabs	blocked
com.ibm.ta.sdk	blocked
com.illtamer.infinite.bot	blocked
com.jakewharton.dex	blocked
com.javax0.jamal	blocked
com.jordansamhi	blocked
com.kenstott.components	blocked
com.leonarduk	blocked
com.lihaoyi	blocked
com.microsoft.azure.kusto	blocked
com.my-oli	blocked
com.netflix.nebula	blocked
com.newrelic.agent.android	blocked
com.nimbusds	blocked
com.oracle.substratevm	blocked
com.oradian.util	blocked
com.orientechnologies	blocked
com.paulbutcher	blocked
com.pinterest.psc	blocked
com.quantego	blocked
com.salesforce.utam	blocked
com.salesforceiq.augmenteddriver	blocked
com.steampunk.swtf	blocked
com.tambapps.marcel	blocked
com.taobao.arthas	blocked
com.tencent.polaris	blocked
com.testzeus	blocked
com.uber.nullaway	blocked
com.vmlens	blocked
de.darmstadt.tu.crossing.CrySL	blocked
de.firemage.autograder	blocked
de.fraunhofer.iem	blocked
de.fraunhofer.sit.sse.flowdroid	blocked
de.gwdg.metadataqa	blocked
de.tud.sse	blocked
edu.berkeley.cs.jqf	blocked
es.bsc.dataclay	blocked
eu.stamp-project	blocked
fi.evident.apina	blocked
global.namespace.neuron-di	blocked
io.debezium	blocked
io.dingodb	blocked
io.ebean.tools	blocked
io.github.changebooks	blocked
io.github.gxhunter	blocked
io.github.magwas	blocked
io.github.mitsumi-solutions-develop	blocked
io.github.nieuwmijnleven.jadex	blocked
io.github.nkbai	blocked
io.github.rohitect	blocked
io.github.spafka.p3c	blocked
io.github.tblsoft.solr	blocked
io.github.vdaburon	blocked
io.github.zendodx	blocked
io.grasscutter	blocked
io.grpc	blocked
io.janusproject	blocked
io.joern	blocked
io.kestra.plugin	blocked
io.sarl.docs	blocked
io.stargate.it	blocked
io.thorntail	blocked
net.amygdalum	blocked
net.bytebuddy	blocked
net.cnri.cordra	blocked
net.corda	blocked
net.onedaybeard.artemis	blocked
net.onedaybeard.graftt	blocked
net.serenity-bdd	blocked
nl.praegus	blocked
no.nav.security	blocked
org.apache.aries.spifly	blocked
org.apache.hugegraph	blocked
org.apache.iotdb	blocked
org.apache.james	blocked
org.apache.maven.scm	blocked
org.apache.pinot	blocked
org.apache.tez	blocked
org.checkerframework	blocked
org.clyze	blocked
org.codehaus.groovy	blocked
org.docshare	blocked
org.eclipse.ditto	blocked
org.eclipse.ecsp	blocked
org.fitnesse	blocked
org.geneweaver	blocked
org.gephi	blocked
org.glassfish.main.extras	blocked
org.graalvm.nativeimage	blocked
org.immregistries	blocked
org.inria.sacha.automaticRepair	blocked
org.jetbrains.compose.hot-reload	blocked
org.jpeek	blocked
org.kill-bill.billing.plugin.java	blocked
org.liquibase.ext	blocked
org.mini2Dx	blocked
org.mongodb	blocked
org.neo4j.procedure	blocked
org.netbeans.external	blocked
org.noear	blocked
org.odpi.egeria	blocked
org.opennms.newts	blocked
org.python	blocked
org.querqy	blocked
org.robotframework	blocked
org.soot-oss	blocked
org.teavm	blocked
org.terrier	blocked
org.tiatesting	blocked
org.tomitribe.asmify	blocked
org.tomitribe.jkta	blocked
org.unittestbot.soot	blocked
org.virtuslab.scala-cli	blocked
se.bjurr.gitchangelog	blocked
se.bjurr.violations	blocked
se.bjurr.wiremock	blocked
site.gutschi	blocked
solutions.a2.oracle	blocked
uk.gov.gchq.gaffer	blocked
uk.gov.gchq.palisade	blocked
