1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/1.0.0/smartdigimkttech-sdk-1.0.0.jar returned status 404
6.5.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.30/smartdigimkttech-sdk-6.5.30.jar returned status 404
6.5.30.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.30.1/smartdigimkttech-sdk-6.5.30.1.jar returned status 404
6.5.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.31/smartdigimkttech-sdk-6.5.31.jar returned status 404
6.5.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.32/smartdigimkttech-sdk-6.5.32.jar returned status 404
6.5.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.35/smartdigimkttech-sdk-6.5.35.jar returned status 404
6.5.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.36/smartdigimkttech-sdk-6.5.36.jar returned status 404
6.5.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.37/smartdigimkttech-sdk-6.5.37.jar returned status 404
6.5.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.38/smartdigimkttech-sdk-6.5.38.jar returned status 404
6.5.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.39/smartdigimkttech-sdk-6.5.39.jar returned status 404
6.5.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.40/smartdigimkttech-sdk-6.5.40.jar returned status 404
6.5.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/smartdigimkttech/sdk/smartdigimkttech-sdk/6.5.45/smartdigimkttech-sdk-6.5.45.jar returned status 404
