0.1.0	automatic	eu.mihosoft.binarytypeutils	binarytypeutils	2021-02-08T21:14:57Z	
0.1.0	automatic	eu.mihosoft.streamutils	streamutils	2021-02-08T21:17:51Z	
0.1.2	automatic	eu.mihosoft.streamutils	streamutils	2021-02-09T16:19:58Z	
0.1.6	automatic	eu.mihosoft.streamutils	streamutils	2022-02-09T19:03:33Z	
