1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.0/plugins-1.0.0.jar returned status 404
1.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.1/plugins-1.0.1.jar returned status 404
1.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.19/plugins-1.0.19.jar returned status 404
1.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.2/plugins-1.0.2.jar returned status 404
1.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.20/plugins-1.0.20.jar returned status 404
1.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.21/plugins-1.0.21.jar returned status 404
1.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.22/plugins-1.0.22.jar returned status 404
1.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.23/plugins-1.0.23.jar returned status 404
1.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.24/plugins-1.0.24.jar returned status 404
1.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.25/plugins-1.0.25.jar returned status 404
1.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.26/plugins-1.0.26.jar returned status 404
1.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.27/plugins-1.0.27.jar returned status 404
1.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/xpanse/plugins/1.0.28/plugins-1.0.28.jar returned status 404
