org.slf4j	allowed
com.facebook.presto.hive	blocked
com.github.bordertech.wcomponents	blocked
com.github.samtools	blocked
com.guicedee.services	blocked
com.nordstrom.ui-tools	blocked
com.uchicom	blocked
com.veracode.vosp.api.wrappers	blocked
commons-logging	blocked
de.redsix	blocked
io.brunoborges	blocked
io.github.linagora.linid.im	blocked
io.kestra.plugin	blocked
io.nextflow	blocked
io.pivotal.cfenv	blocked
net.aequologica.neo	blocked
net.ontopia	blocked
no.ssb.vtl	blocked
org.apache.karaf.decanter.alerting	blocked
org.apache.orc	blocked
org.apache.pinot	blocked
org.apache.tika	blocked
org.beangle.sas	blocked
org.camunda.bpm.extension.dmn	blocked
org.docx4j	blocked
org.jboss.logging	blocked
org.jboss.pnc.build-agent	blocked
org.jqassistant.contrib.plugin	blocked
org.labkey.api	blocked
org.odpi.egeria	blocked
org.open-metadata	blocked
org.operaton.bpm	blocked
org.operaton.bpm.extension	blocked
org.springframework.cloud	blocked
org.violetlib	blocked
org.wildfly	blocked
