6.1.0	named	org.labkey.api	labkey-client-api	2024-02-26T22:21:53Z	1.3.0
4.1.1	named	com.github.samtools	htsjdk	2024-06-12T15:34:52Z	1.3.0
4.1.2	named	com.github.samtools	htsjdk	2024-09-17T22:00:40Z	1.3.0
4.1.3	named	com.github.samtools	htsjdk	2024-10-07T14:57:44Z	1.3.0
4.2.0	named	com.github.samtools	htsjdk	2025-04-13T15:01:55Z	1.3.0
4.3.0	named	com.github.samtools	htsjdk	2025-06-09T19:05:39Z	1.3.0
