0.0.1	named	com.devinsterling.localize	base	2025-03-12T15:17:02Z	0.0.1
1.0.0	named	com.devinsterling	localize-base	2025-03-13T03:02:58Z	1.0.0
1.1.0	named	com.devinsterling	localize-base	2025-07-09T22:09:56Z	1.1.0
1.2.0	named	com.devinsterling	localize-base	2026-04-30T22:21:28Z	1.2.0
1.3.0	named	com.devinsterling	localize-base	2026-08-04T03:09:36Z	1.3.0
