3.13.0.v20180226-1711	automatic	org.eclipse.tycho	org.eclipse.osgi
1.26.5	named	io.joynr.tools.generator	joynr-generator-standalone
1.26.4	named	io.joynr.tools.generator	joynr-generator-standalone
1.26.3	named	io.joynr.tools.generator	joynr-generator-standalone
1.26.1	named	io.joynr.tools.generator	joynr-generator-standalone
1.26.0	named	io.joynr.tools.generator	joynr-generator-standalone
