2.0.0.090			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0.090/cardverify-ui-2.0.0.090.jar returned status 404
2.0.0082			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0082/cardverify-ui-2.0.0082.jar returned status 404
2.0.0083			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0083/cardverify-ui-2.0.0083.jar returned status 404
2.0.0084			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0084/cardverify-ui-2.0.0084.jar returned status 404
2.0.0085			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0085/cardverify-ui-2.0.0085.jar returned status 404
2.0.0086			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0086/cardverify-ui-2.0.0086.jar returned status 404
2.0.0087			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0087/cardverify-ui-2.0.0087.jar returned status 404
2.0.0088			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0088/cardverify-ui-2.0.0088.jar returned status 404
2.0.0089			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0089/cardverify-ui-2.0.0089.jar returned status 404
2.0.0090			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.0.0090/cardverify-ui-2.0.0090.jar returned status 404
2.1.0002			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0002/cardverify-ui-2.1.0002.jar returned status 404
2.1.0003			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0003/cardverify-ui-2.1.0003.jar returned status 404
2.1.0004			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0004/cardverify-ui-2.1.0004.jar returned status 404
2.1.0005			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0005/cardverify-ui-2.1.0005.jar returned status 404
2.1.0006			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0006/cardverify-ui-2.1.0006.jar returned status 404
2.1.0007			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0007/cardverify-ui-2.1.0007.jar returned status 404
2.1.0008			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0008/cardverify-ui-2.1.0008.jar returned status 404
2.1.0009			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0009/cardverify-ui-2.1.0009.jar returned status 404
2.1.0010			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0010/cardverify-ui-2.1.0010.jar returned status 404
2.1.0011			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0011/cardverify-ui-2.1.0011.jar returned status 404
2.1.0013			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0013/cardverify-ui-2.1.0013.jar returned status 404
2.1.0014			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0014/cardverify-ui-2.1.0014.jar returned status 404
2.1.0014-alpha02			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0014-alpha02/cardverify-ui-2.1.0014-alpha02.jar returned status 404
2.1.0015			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0015/cardverify-ui-2.1.0015.jar returned status 404
2.1.0016			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0016/cardverify-ui-2.1.0016.jar returned status 404
2.1.0017			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0017/cardverify-ui-2.1.0017.jar returned status 404
2.1.0018			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0018/cardverify-ui-2.1.0018.jar returned status 404
2.1.0019			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0019/cardverify-ui-2.1.0019.jar returned status 404
2.1.0020			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0020/cardverify-ui-2.1.0020.jar returned status 404
2.1.0021			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0021/cardverify-ui-2.1.0021.jar returned status 404
2.1.0022			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0022/cardverify-ui-2.1.0022.jar returned status 404
2.1.0023			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/getbouncer/cardverify-ui/2.1.0023/cardverify-ui-2.1.0023.jar returned status 404
