1.3.0		2016-07-17T08:43:08Z	
1.3.0-CR1		2016-07-12T13:15:17Z	
1.3.0.Beta1		2016-07-05T21:07:37Z	
1.3.1		2016-07-19T17:49:16Z	
1.3.2		2016-07-20T18:33:24Z	
1.3.3		2016-07-26T09:11:16Z	
1.3.4		2016-07-26T20:19:22Z	
1.3.5		2016-07-27T14:36:06Z	
1.4.0		2016-07-30T17:09:32Z	
1.4.0-beta-1		2016-07-28T18:17:32Z	
1.4.0-beta-2		2016-07-29T21:36:30Z	
1.4.1		2016-08-03T20:53:37Z	
1.4.2		2016-08-18T14:20:59Z	
1.5.0		2016-09-10T13:05:11Z	
1.5.0-beta-1		2016-09-03T10:44:43Z	
1.5.1		2016-09-13T15:31:23Z	
1.6.0		2016-09-28T09:31:12Z	
1.6.0-beta-1		2016-09-17T16:20:57Z	
1.6.0-beta-2		2016-09-17T21:21:30Z	
2.0.0		2017-01-07T09:04:22Z	
2.0.0-alpha-1		2016-12-17T23:22:27Z	
2.0.0-alpha-2		2016-12-20T14:48:12Z	
2.0.0-beta-1		2016-12-30T12:40:34Z	
2.0.0-beta-2		2016-12-31T14:04:36Z	
2.0.0-beta-3		2017-01-01T00:03:12Z	
2.0.0-cr-1		2017-01-01T17:09:46Z	
2.0.1		2017-01-07T20:01:46Z	
2.0.2		2017-01-10T18:55:18Z	
2.0.3		2017-01-14T16:07:50Z	
2.0.4		2017-01-20T17:43:02Z	
2.0.5		2017-02-21T16:40:15Z	
3.0.0		2017-02-23T17:05:58Z	
3.0.0-alpha-1		2017-01-29T19:04:19Z	
3.0.0-beta-1		2017-02-05T22:28:11Z	
3.0.0-beta-2		2017-02-08T19:03:32Z	
3.0.0-cr-1		2017-02-17T13:03:37Z	
3.0.0-cr-2		2017-02-21T17:32:35Z	
3.0.1		2017-02-23T21:20:59Z	
3.1.0		2017-03-05T17:01:11Z	
3.1.1		2017-03-05T18:41:53Z	
3.1.2		2017-03-08T19:30:38Z	
3.1.3		2017-03-18T16:03:57Z	
3.1.4		2017-03-22T18:48:41Z	
3.2.0		2017-04-14T19:18:57Z	
3.2.3		2017-04-16T08:49:35Z	
3.2.4		2017-04-17T14:43:56Z	
3.2.5		2017-05-19T08:57:47Z	
3.2.6		2017-06-21T19:49:07Z	
3.2.7		2017-07-30T16:22:11Z	
3.3.0		2017-07-31T20:28:50Z	
4.0.0-alpha-1		2017-07-08T09:22:35Z	
4.0.0-alpha-2		2017-07-14T19:04:58Z	
