0.1-alpha08			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/plusmobileapps/rick-and-morty-api-android/0.1-alpha08/rick-and-morty-api-android-0.1-alpha08.jar returned status 404
0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/plusmobileapps/rick-and-morty-api-android/0.2/rick-and-morty-api-android-0.2.jar returned status 404
0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/plusmobileapps/rick-and-morty-api-android/0.3/rick-and-morty-api-android-0.3.jar returned status 404
