8.657.27	named	com.yahoo.vespa	vespaclient-java	2026-03-16T03:06:49Z	12.0.33
8.658.52	named	com.yahoo.vespa	vespaclient-java	2026-03-17T03:06:30Z	12.0.33
8.659.18	named	com.yahoo.vespa	vespaclient-java	2026-03-18T03:06:08Z	12.0.33
8.660.21	named	com.yahoo.vespa	vespaclient-java	2026-03-19T03:06:09Z	12.0.33
8.662.69	named	com.yahoo.vespa	vespaclient-java	2026-03-24T07:37:17Z	12.0.33
8.663.19	named	com.yahoo.vespa	vespaclient-java	2026-03-25T03:05:35Z	12.0.33
8.664.22	named	com.yahoo.vespa	vespaclient-java	2026-03-26T03:05:31Z	12.0.33
8.665.18	named	com.yahoo.vespa	vespaclient-java	2026-03-30T05:06:30Z	12.0.33
8.667.16	named	com.yahoo.vespa	vespaclient-java	2026-03-31T08:48:00Z	12.0.33
8.668.5	named	com.yahoo.vespa	vespaclient-java	2026-03-31T15:39:35Z	12.0.33
8.669.29	named	com.yahoo.vespa	vespaclient-java	2026-04-08T02:05:31Z	12.0.33
8.670.29	named	com.yahoo.vespa	vespaclient-java	2026-04-09T04:05:18Z	12.0.33
8.671.12	named	com.yahoo.vespa	vespaclient-java	2026-04-13T02:08:34Z	12.0.33
8.672.3	named	com.yahoo.vespa	vespaclient-java	2026-04-14T02:05:23Z	12.0.33
8.673.18	named	com.yahoo.vespa	vespaclient-java	2026-04-15T02:05:21Z	12.0.33
8.675.23	named	com.yahoo.vespa	vespaclient-java	2026-04-20T02:05:31Z	12.0.33
8.677.31	named	com.yahoo.vespa	vespaclient-java	2026-04-23T02:08:23Z	12.0.33
8.678.25	named	com.yahoo.vespa	vespaclient-java	2026-04-27T02:05:36Z	12.0.33
8.679.50	named	com.yahoo.vespa	vespaclient-java	2026-04-28T02:08:29Z	12.0.33
8.680.18	named	com.yahoo.vespa	vespaclient-java	2026-04-29T16:27:28Z	12.0.33
8.681.56	named	com.yahoo.vespa	vespaclient-java	2026-04-30T19:29:27Z	12.0.33
8.682.72	named	com.yahoo.vespa	vespaclient-java	2026-05-04T17:21:36Z	12.0.33
8.683.24	named	com.yahoo.vespa	vespaclient-java	2026-05-05T18:02:28Z	12.0.33
