6.7.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.54/pushwoosh-calls-6.7.54.jar returned status 404
6.7.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.55/pushwoosh-calls-6.7.55.jar returned status 404
6.7.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.56/pushwoosh-calls-6.7.56.jar returned status 404
6.7.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.57/pushwoosh-calls-6.7.57.jar returned status 404
6.7.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.58/pushwoosh-calls-6.7.58.jar returned status 404
6.7.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.59/pushwoosh-calls-6.7.59.jar returned status 404
6.7.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.60/pushwoosh-calls-6.7.60.jar returned status 404
6.7.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.61/pushwoosh-calls-6.7.61.jar returned status 404
6.7.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.62/pushwoosh-calls-6.7.62.jar returned status 404
6.7.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.63/pushwoosh-calls-6.7.63.jar returned status 404
6.7.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.64/pushwoosh-calls-6.7.64.jar returned status 404
6.7.65			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.65/pushwoosh-calls-6.7.65.jar returned status 404
6.7.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.66/pushwoosh-calls-6.7.66.jar returned status 404
6.7.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.7.67/pushwoosh-calls-6.7.67.jar returned status 404
6.8.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.8.0/pushwoosh-calls-6.8.0.jar returned status 404
6.8.1		2026-05-21T20:30:44Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.8.1/pushwoosh-calls-6.8.1.jar returned status 404
6.9.0		2026-06-02T11:23:32Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.9.0/pushwoosh-calls-6.9.0.jar returned status 404
6.9.1		2026-06-16T12:10:40Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.9.1/pushwoosh-calls-6.9.1.jar returned status 404
6.9.2		2026-06-19T18:21:46Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.9.2/pushwoosh-calls-6.9.2.jar returned status 404
6.9.3		2026-06-24T14:04:48Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.9.3/pushwoosh-calls-6.9.3.jar returned status 404
6.9.4		2026-06-25T12:28:29Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.9.4/pushwoosh-calls-6.9.4.jar returned status 404
6.9.5		2026-07-03T08:54:17Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.9.5/pushwoosh-calls-6.9.5.jar returned status 404
6.9.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/pushwoosh/pushwoosh-calls/6.9.6/pushwoosh-calls-6.9.6.jar returned status 404
