com.formdev	allowed
ca.corbett	rejected
com.github.sundev79.MineBootFramework	rejected
com.suckatcoding	rejected
de.florianmichael	rejected
de.florianreuth	rejected
dev.robocode.tankroyale	rejected
io.github.harvardpl	rejected
