0.10.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.0/jimmer-bom-0.10.0.jar returned status 404
0.10.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.1/jimmer-bom-0.10.1.jar returned status 404
0.10.10		2026-06-05T00:06:09Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.10/jimmer-bom-0.10.10.jar returned status 404
0.10.11		2026-06-19T07:56:29Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.11/jimmer-bom-0.10.11.jar returned status 404
0.10.12		2026-06-23T12:00:57Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.12/jimmer-bom-0.10.12.jar returned status 404
0.10.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.2/jimmer-bom-0.10.2.jar returned status 404
0.10.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.3/jimmer-bom-0.10.3.jar returned status 404
0.10.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.4/jimmer-bom-0.10.4.jar returned status 404
0.10.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.5/jimmer-bom-0.10.5.jar returned status 404
0.10.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.6/jimmer-bom-0.10.6.jar returned status 404
0.10.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.7/jimmer-bom-0.10.7.jar returned status 404
0.10.8		2026-06-01T13:01:40Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.8/jimmer-bom-0.10.8.jar returned status 404
0.10.9		2026-06-02T07:57:36Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.10.9/jimmer-bom-0.10.9.jar returned status 404
0.11.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.11.0/jimmer-bom-0.11.0.jar returned status 404
0.11.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.11.1/jimmer-bom-0.11.1.jar returned status 404
0.11.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/babyfish/jimmer/jimmer-bom/0.11.2/jimmer-bom-0.11.2.jar returned status 404
