0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/0.0.1/astrapay-uiandroid-sdk-0.0.1.jar returned status 404
1.26.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.26.0/astrapay-uiandroid-sdk-1.26.0.jar returned status 404
1.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.30/astrapay-uiandroid-sdk-1.30.jar returned status 404
1.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.31/astrapay-uiandroid-sdk-1.31.jar returned status 404
1.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.32/astrapay-uiandroid-sdk-1.32.jar returned status 404
1.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.33/astrapay-uiandroid-sdk-1.33.jar returned status 404
1.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.34/astrapay-uiandroid-sdk-1.34.jar returned status 404
1.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.35/astrapay-uiandroid-sdk-1.35.jar returned status 404
1.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.36/astrapay-uiandroid-sdk-1.36.jar returned status 404
1.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.37/astrapay-uiandroid-sdk-1.37.jar returned status 404
1.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.38/astrapay-uiandroid-sdk-1.38.jar returned status 404
1.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.39/astrapay-uiandroid-sdk-1.39.jar returned status 404
1.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.40/astrapay-uiandroid-sdk-1.40.jar returned status 404
1.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.41/astrapay-uiandroid-sdk-1.41.jar returned status 404
1.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.42/astrapay-uiandroid-sdk-1.42.jar returned status 404
1.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.43/astrapay-uiandroid-sdk-1.43.jar returned status 404
1.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.44/astrapay-uiandroid-sdk-1.44.jar returned status 404
1.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.45/astrapay-uiandroid-sdk-1.45.jar returned status 404
1.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.46/astrapay-uiandroid-sdk-1.46.jar returned status 404
1.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.47/astrapay-uiandroid-sdk-1.47.jar returned status 404
1.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.48/astrapay-uiandroid-sdk-1.48.jar returned status 404
1.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.49/astrapay-uiandroid-sdk-1.49.jar returned status 404
1.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.50/astrapay-uiandroid-sdk-1.50.jar returned status 404
1.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/astrapay/astrapay-uiandroid-sdk/1.51/astrapay-uiandroid-sdk-1.51.jar returned status 404
