0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/xiaoyung/easyisapi-sdk/0.0.1/easyisapi-sdk-0.0.1.jar returned status 404
0.0.16		2025-10-20T16:16:04Z	
0.0.17		2025-10-21T00:43:26Z	
