0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.1/carp-dependencies-0.0.1.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.16/carp-dependencies-0.0.16.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.17/carp-dependencies-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.18/carp-dependencies-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.19/carp-dependencies-0.0.19.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.2/carp-dependencies-0.0.2.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.20/carp-dependencies-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.21/carp-dependencies-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.22/carp-dependencies-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.23/carp-dependencies-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.24/carp-dependencies-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.25/carp-dependencies-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.26/carp-dependencies-0.0.26.jar returned status 404
0.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.27/carp-dependencies-0.0.27.jar returned status 404
0.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.28/carp-dependencies-0.0.28.jar returned status 404
0.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.29/carp-dependencies-0.0.29.jar returned status 404
0.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.3/carp-dependencies-0.0.3.jar returned status 404
0.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.30/carp-dependencies-0.0.30.jar returned status 404
0.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.31/carp-dependencies-0.0.31.jar returned status 404
0.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.32/carp-dependencies-0.0.32.jar returned status 404
0.0.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.33/carp-dependencies-0.0.33.jar returned status 404
0.0.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.34/carp-dependencies-0.0.34.jar returned status 404
0.0.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.35/carp-dependencies-0.0.35.jar returned status 404
0.0.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.36/carp-dependencies-0.0.36.jar returned status 404
0.0.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-dependencies/0.0.37/carp-dependencies-0.0.37.jar returned status 404
