0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.1/carp-framework-0.0.1.jar returned status 404
0.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.10/carp-framework-0.0.10.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.11/carp-framework-0.0.11.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.12/carp-framework-0.0.12.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.13/carp-framework-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.14/carp-framework-0.0.14.jar returned status 404
0.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.16/carp-framework-0.0.16.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.17/carp-framework-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.18/carp-framework-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.19/carp-framework-0.0.19.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.2/carp-framework-0.0.2.jar returned status 404
0.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.20/carp-framework-0.0.20.jar returned status 404
0.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.21/carp-framework-0.0.21.jar returned status 404
0.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.22/carp-framework-0.0.22.jar returned status 404
0.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.23/carp-framework-0.0.23.jar returned status 404
0.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.24/carp-framework-0.0.24.jar returned status 404
0.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.25/carp-framework-0.0.25.jar returned status 404
0.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/cn/sliew/carp-framework/0.0.26/carp-framework-0.0.26.jar returned status 404
