1.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/deeplinknow/dln-android/1.0.0/dln-android-1.0.0.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/deeplinknow/dln-android/1.0.11/dln-android-1.0.11.jar returned status 404
1.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/deeplinknow/dln-android/1.0.12/dln-android-1.0.12.jar returned status 404
1.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/deeplinknow/dln-android/1.0.15/dln-android-1.0.15.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/deeplinknow/dln-android/1.0.16/dln-android-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/deeplinknow/dln-android/1.0.17/dln-android-1.0.17.jar returned status 404
1.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/deeplinknow/dln-android/1.0.18/dln-android-1.0.18.jar returned status 404
