0.5.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/pl/dronline/multiplatform/utils/drlogger-android/0.5.1/drlogger-android-0.5.1.jar returned status 404
1.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/pl/dronline/multiplatform/utils/drlogger-android/1.0.11/drlogger-android-1.0.11.jar returned status 404
1.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/pl/dronline/multiplatform/utils/drlogger-android/1.0.16/drlogger-android-1.0.16.jar returned status 404
1.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/pl/dronline/multiplatform/utils/drlogger-android/1.0.17/drlogger-android-1.0.17.jar returned status 404
1.0.18		2026-05-17T19:30:30Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/pl/dronline/multiplatform/utils/drlogger-android/1.0.18/drlogger-android-1.0.18.jar returned status 404
1.0.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/pl/dronline/multiplatform/utils/drlogger-android/1.0.5/drlogger-android-1.0.5.jar returned status 404
