10.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/10.0.0/antwerkz-parent-10.0.0.jar returned status 404
11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/11/antwerkz-parent-11.jar returned status 404
13.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/13.0.0/antwerkz-parent-13.0.0.jar returned status 404
14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/14/antwerkz-parent-14.jar returned status 404
16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/16/antwerkz-parent-16.jar returned status 404
18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/18/antwerkz-parent-18.jar returned status 404
2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/2/antwerkz-parent-2.jar returned status 404
20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/20/antwerkz-parent-20.jar returned status 404
21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/21/antwerkz-parent-21.jar returned status 404
22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/22/antwerkz-parent-22.jar returned status 404
23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/23/antwerkz-parent-23.jar returned status 404
24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/24/antwerkz-parent-24.jar returned status 404
25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/25/antwerkz-parent-25.jar returned status 404
26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/26/antwerkz-parent-26.jar returned status 404
27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/27/antwerkz-parent-27.jar returned status 404
28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/28/antwerkz-parent-28.jar returned status 404
29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/29/antwerkz-parent-29.jar returned status 404
3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/3/antwerkz-parent-3.jar returned status 404
30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/30/antwerkz-parent-30.jar returned status 404
31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/31/antwerkz-parent-31.jar returned status 404
32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/32/antwerkz-parent-32.jar returned status 404
33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/33/antwerkz-parent-33.jar returned status 404
34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/34/antwerkz-parent-34.jar returned status 404
35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/35/antwerkz-parent-35.jar returned status 404
36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/36/antwerkz-parent-36.jar returned status 404
37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/37/antwerkz-parent-37.jar returned status 404
39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/39/antwerkz-parent-39.jar returned status 404
40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/40/antwerkz-parent-40.jar returned status 404
41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/41/antwerkz-parent-41.jar returned status 404
42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/42/antwerkz-parent-42.jar returned status 404
43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/43/antwerkz-parent-43.jar returned status 404
44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/44/antwerkz-parent-44.jar returned status 404
45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/45/antwerkz-parent-45.jar returned status 404
5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/5/antwerkz-parent-5.jar returned status 404
52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/52/antwerkz-parent-52.jar returned status 404
54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/54/antwerkz-parent-54.jar returned status 404
55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/55/antwerkz-parent-55.jar returned status 404
6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/antwerkz/antwerkz-parent/6/antwerkz-parent-6.jar returned status 404
