0.1.0		2015-11-16T11:56:05Z	
0.1.0	jpra-c	2015-11-16T11:59:16Z	
0.2.0		2015-11-21T16:36:09Z	
0.2.0	jpra-c	2015-11-21T16:43:37Z	
0.2.1		2015-11-21T17:16:38Z	
0.2.1	jpra-c	2015-11-21T17:23:20Z	
0.3.1		2015-12-04T22:54:18Z	
0.3.1	jpra-c	2015-12-04T23:02:33Z	
0.3.2		2015-12-06T15:39:01Z	
0.3.2	jpra-c	2015-12-06T15:45:51Z	
0.4.0		2015-12-11T18:20:07Z	
0.4.0	jpra-c	2015-12-11T18:31:21Z	
0.4.1		2016-01-17T21:07:58Z	
0.4.1	jpra-c	2016-01-17T21:08:28Z	
0.5.0		2016-08-24T11:42:00Z	
0.5.0	jpra-c	2016-08-24T11:42:14Z	
