2023.2.0	named	org.nasdanika.core	maven	2023-02-20T18:00:59Z	2023.2.0
2023.3.0	named	org.nasdanika.core	maven	2023-03-12T17:10:11Z	2023.3.0
2023.4.0	named	org.nasdanika.core	maven	2023-03-31T11:23:46Z	2023.4.0
2023.8.0	named	org.nasdanika.core	maven	2023-08-26T23:10:50Z	2023.8.0
2023.9.0	named	org.nasdanika.core	maven	2023-09-04T15:58:54Z	2023.9.0
2023.9.1	named	org.nasdanika.core	maven	2023-09-16T21:10:12Z	2023.9.1
2023.10.0	named	org.nasdanika.core	maven	2023-10-18T18:14:18Z	2023.10.0
2023.12.0	named	org.nasdanika.core	maven	2023-12-03T23:17:59Z	2023.12.0
2023.12.1	named	org.nasdanika.core	maven	2023-12-27T18:47:24Z	2023.12.1
2024.1.0	named	org.nasdanika.core	maven	2024-01-28T10:47:57Z	2024.1.0
2024.3.0	named	org.nasdanika.core	maven	2024-03-10T18:41:17Z	2024.3.0
2024.3.1	named	org.nasdanika.core	maven	2024-03-11T16:04:55Z	2024.3.1
2024.4.0	named	org.nasdanika.core	maven	2024-04-09T14:10:40Z	2024.4.0
2024.5.0	named	org.nasdanika.core	maven	2024-05-11T11:24:37Z	2024.5.0
2024.5.1	named	org.nasdanika.core	maven	2024-05-30T09:41:52Z	2024.5.1
2024.6.0	named	org.nasdanika.core	maven	2024-06-23T15:28:15Z	2024.6.0
2024.7.0	named	org.nasdanika.core	maven	2024-07-06T22:40:03Z	2024.7.0
2024.7.1	named	org.nasdanika.core	maven	2024-07-23T14:30:52Z	2024.7.1
2024.9.0	named	org.nasdanika.core	maven	2024-09-14T23:31:58Z	2024.9.0
2024.10.0	named	org.nasdanika.core	maven	2024-10-13T14:27:17Z	2024.10.0
2024.11.0	named	org.nasdanika.core	maven	2024-11-02T19:04:41Z	2024.11.0
2024.11.1	named	org.nasdanika.core	maven	2024-12-01T22:47:27Z	2024.11.1
2024.12.0	named	org.nasdanika.core	maven	2024-12-30T13:42:29Z	2024.12.0
2025.1.0	named	org.nasdanika.core	maven	2025-01-28T02:06:01Z	2025.1.0
2025.2.0	named	org.nasdanika.core	maven	2025-02-27T22:21:39Z	2025.2.0
2025.3.0	named	org.nasdanika.core	maven	2025-03-30T03:56:17Z	2025.3.0
2025.4.0	named	org.nasdanika.core	maven	2025-04-20T15:22:49Z	2025.4.0
2025.5.0	named	org.nasdanika.core	maven	2025-05-19T16:59:04Z	2025.5.0
2025.6.0	named	org.nasdanika.core	maven	2025-06-17T12:30:23Z	2025.6.0
2025.7.0	named	org.nasdanika.core	maven	2025-07-27T20:56:04Z	2025.7.0
2025.10.0	named	org.nasdanika.core	maven	2025-10-12T09:04:09Z	2025.10.0
2025.12.0	named	org.nasdanika.core	maven	2025-12-10T23:45:11Z	2025.12.0
2026.2.0	named	org.nasdanika.core	maven	2026-03-03T03:25:45Z	2026.2.0
