1.8	automatic	org.jfree	fxgraphics2d	2019-02-07T21:31:11Z	
2.0	named	org.jfree	org.jfree.fxgraphics2d	2020-02-27T16:01:33Z	2.0
2.1	named	org.jfree	org.jfree.fxgraphics2d	2020-10-03T08:52:43Z	2.1
2.1.1	named	org.jfree	org.jfree.fxgraphics2d	2021-05-24T06:05:30Z	2.1.1
2.1.2	named	org.jfree	org.jfree.fxgraphics2d	2021-08-05T11:07:54Z	2.1.2
2.1.3	named	org.jfree	org.jfree.fxgraphics2d	2022-01-23T06:46:19Z	2.1.3
2.1.4	named	org.jfree	org.jfree.fxgraphics2d	2023-02-12T08:06:38Z	2.1.4
2.1.5	named	org.jfree	org.jfree.fxgraphics2d	2025-05-22T08:09:00Z	2.1.5
