3.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.0/swagger-codegen-project-3.0.0.jar returned status 404
3.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.1/swagger-codegen-project-3.0.1.jar returned status 404
3.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.10/swagger-codegen-project-3.0.10.jar returned status 404
3.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.11/swagger-codegen-project-3.0.11.jar returned status 404
3.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.12/swagger-codegen-project-3.0.12.jar returned status 404
3.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.13/swagger-codegen-project-3.0.13.jar returned status 404
3.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.14/swagger-codegen-project-3.0.14.jar returned status 404
3.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.15/swagger-codegen-project-3.0.15.jar returned status 404
3.0.16			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.16/swagger-codegen-project-3.0.16.jar returned status 404
3.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.17/swagger-codegen-project-3.0.17.jar returned status 404
3.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.18/swagger-codegen-project-3.0.18.jar returned status 404
3.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.19/swagger-codegen-project-3.0.19.jar returned status 404
3.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.2/swagger-codegen-project-3.0.2.jar returned status 404
3.0.20			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.20/swagger-codegen-project-3.0.20.jar returned status 404
3.0.21			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.21/swagger-codegen-project-3.0.21.jar returned status 404
3.0.22			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.22/swagger-codegen-project-3.0.22.jar returned status 404
3.0.23			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.23/swagger-codegen-project-3.0.23.jar returned status 404
3.0.24			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.24/swagger-codegen-project-3.0.24.jar returned status 404
3.0.25			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.25/swagger-codegen-project-3.0.25.jar returned status 404
3.0.26			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.26/swagger-codegen-project-3.0.26.jar returned status 404
3.0.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.27/swagger-codegen-project-3.0.27.jar returned status 404
3.0.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.28/swagger-codegen-project-3.0.28.jar returned status 404
3.0.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.29/swagger-codegen-project-3.0.29.jar returned status 404
3.0.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.3/swagger-codegen-project-3.0.3.jar returned status 404
3.0.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.30/swagger-codegen-project-3.0.30.jar returned status 404
3.0.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.31/swagger-codegen-project-3.0.31.jar returned status 404
3.0.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/swagger/codegen/v3/swagger-codegen-project/3.0.32/swagger-codegen-project-3.0.32.jar returned status 404
