0.1.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.1.0/srcclr-sdk-java-0.1.0.jar returned status 404
0.1.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.1.1/srcclr-sdk-java-0.1.1.jar returned status 404
0.1.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.1.2/srcclr-sdk-java-0.1.2.jar returned status 404
0.2.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.1/srcclr-sdk-java-0.2.1.jar returned status 404
0.2.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.10/srcclr-sdk-java-0.2.10.jar returned status 404
0.2.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.11/srcclr-sdk-java-0.2.11.jar returned status 404
0.2.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.12/srcclr-sdk-java-0.2.12.jar returned status 404
0.2.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.13/srcclr-sdk-java-0.2.13.jar returned status 404
0.2.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.2/srcclr-sdk-java-0.2.2.jar returned status 404
0.2.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.3/srcclr-sdk-java-0.2.3.jar returned status 404
0.2.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.4/srcclr-sdk-java-0.2.4.jar returned status 404
0.2.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.5/srcclr-sdk-java-0.2.5.jar returned status 404
0.2.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.6/srcclr-sdk-java-0.2.6.jar returned status 404
0.2.7			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/srcclr/srcclr-sdk-java/0.2.7/srcclr-sdk-java-0.2.7.jar returned status 404
