1.1.0.6-jre15	named	com.guicedee.services	jakarta.el	2020-11-26T09:42:20Z	1.1.0.6-jre15
1.1.0.6	named	com.guicedee.services	jakarta.el	2020-11-26T12:45:14Z	1.1.0.6
10.0.0	named	org.apache.tomcat	tomcat-el-api	2020-12-03T12:47:36Z	4.0
3.0.0	automatic	org.jboss.spec.jakarta.el	jboss-el-api_4.0_spec	2020-12-07T19:53:16Z	
1.1.0.7-jre15	named	com.guicedee.services	jakarta.el	2020-12-30T21:33:58Z	1.1.0.7-jre15
1.1.0.7-jre14	named	com.guicedee.services	jakarta.el	2020-12-31T14:03:09Z	1.1.0.7-jre14
1.1.0.7-jre8	named	com.guicedee.services	jakarta.el	2020-12-31T23:13:44Z	1.1.0.7-jre8
1.1.0.7	named	com.guicedee.services	jakarta.el	2021-01-01T02:17:21Z	1.1.0.7
1.1.0.8-SNAPSHOT-jre14	named	com.guicedee.services	jakarta.el	2021-01-27T23:51:23Z	1.1.0.8-SNAPSHOT-jre14
10.0.2	named	org.apache.tomcat	tomcat-el-api	2021-01-28T19:09:05Z	4.0
1.1.1.0-SNAPSHOT-jre15	named	com.guicedee.services	jakarta.el	2021-02-12T17:17:12Z	1.1.1.0-SNAPSHOT-jre15
1.1.1.0-SNAPSHOT-jre14	named	com.guicedee.services	jakarta.el	2021-02-12T21:28:21Z	1.1.1.0-SNAPSHOT-jre14
1.1.1.0-SNAPSHOT-jre8	named	com.guicedee.services	jakarta.el	2021-02-13T06:01:57Z	1.1.1.0-SNAPSHOT-jre8
1.1.1.0-jre15	named	com.guicedee.services	jakarta.el	2021-02-25T22:12:03Z	1.1.1.0-jre15
1.1.1.0	named	com.guicedee.services	jakarta.el	2021-02-26T00:04:29Z	1.1.1.0
1.1.1.0-jre14	named	com.guicedee.services	jakarta.el	2021-02-26T04:02:55Z	1.1.1.0-jre14
1.1.1.0-jre8	named	com.guicedee.services	jakarta.el	2021-02-26T09:46:52Z	1.1.1.0-jre8
10.0.4	named	org.apache.tomcat	tomcat-el-api	2021-03-05T11:20:14Z	4.0
1.1.1.1-jre15-SP1	named	com.guicedee.services	jakarta.el	2021-03-12T02:29:17Z	1.1.1.1-jre15-SP1
1.1.1.1-SP1	named	com.guicedee.services	jakarta.el	2021-03-12T07:09:58Z	1.1.1.1-SP1
1.1.1.1-jre14-SP1	named	com.guicedee.services	jakarta.el	2021-03-12T10:55:19Z	1.1.1.1-jre14-SP1
1.1.1.2-jre15	named	com.guicedee.services	jakarta.el	2021-03-21T20:32:35Z	1.1.1.2-jre15
1.1.1.2-jre14	named	com.guicedee.services	jakarta.el	2021-03-22T00:14:12Z	1.1.1.2-jre14
1.1.1.2	named	com.guicedee.services	jakarta.el	2021-03-22T05:15:24Z	1.1.1.2
1.1.1.3-jre15	named	com.guicedee.services	jakarta.el	2021-03-22T19:51:10Z	1.1.1.3-jre15
1.1.1.3-jre14	named	com.guicedee.services	jakarta.el	2021-03-22T21:37:30Z	1.1.1.3-jre14
1.1.1.3	named	com.guicedee.services	jakarta.el	2021-03-22T23:10:35Z	1.1.1.3
1.1.1.3-jre16	named	com.guicedee.services	jakarta.el	2021-03-24T01:38:46Z	1.1.1.3-jre16
1.1.1.3-jre8	named	com.guicedee.services	jakarta.el	2021-03-24T02:44:44Z	1.1.1.3-jre8
1.1.1.4-jre15	named	com.guicedee.services	jakarta.el	2021-03-29T04:40:56Z	1.1.1.4-jre15
1.1.1.4	named	com.guicedee.services	jakarta.el	2021-03-29T06:17:45Z	1.1.1.4
1.1.1.4-jre16	named	com.guicedee.services	jakarta.el	2021-03-29T08:20:48Z	1.1.1.4-jre16
1.1.1.4-jre8	named	com.guicedee.services	jakarta.el	2021-03-29T23:30:28Z	1.1.1.4-jre8
