2.0.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/androidstudy/daraja/daraja/2.0.0/daraja-2.0.0.jar returned status 404
2.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/androidstudy/daraja/daraja/2.0.1/daraja-2.0.1.jar returned status 404
2.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/com/androidstudy/daraja/daraja/2.0.2/daraja-2.0.2.jar returned status 404
2.0.2	debug-javadoc	2023-02-16T21:32:32Z	
2.0.2	debug-sources	2023-02-16T21:32:48Z	
2.0.2	release-javadoc	2023-02-16T21:32:28Z	
2.0.2	release-sources	2023-02-16T21:32:47Z	
