5.10.0			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.0/org.wso2.carbon.identity.entitlement.endpoint-5.10.0.jar returned status 404
5.10.27			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.27/org.wso2.carbon.identity.entitlement.endpoint-5.10.27.jar returned status 404
5.10.28			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.28/org.wso2.carbon.identity.entitlement.endpoint-5.10.28.jar returned status 404
5.10.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.29/org.wso2.carbon.identity.entitlement.endpoint-5.10.29.jar returned status 404
5.10.3			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.3/org.wso2.carbon.identity.entitlement.endpoint-5.10.3.jar returned status 404
5.10.30			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.30/org.wso2.carbon.identity.entitlement.endpoint-5.10.30.jar returned status 404
5.10.31			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.31/org.wso2.carbon.identity.entitlement.endpoint-5.10.31.jar returned status 404
5.10.32			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.32/org.wso2.carbon.identity.entitlement.endpoint-5.10.32.jar returned status 404
5.10.33			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.33/org.wso2.carbon.identity.entitlement.endpoint-5.10.33.jar returned status 404
5.10.34			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.34/org.wso2.carbon.identity.entitlement.endpoint-5.10.34.jar returned status 404
5.10.35			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.35/org.wso2.carbon.identity.entitlement.endpoint-5.10.35.jar returned status 404
5.10.36			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.36/org.wso2.carbon.identity.entitlement.endpoint-5.10.36.jar returned status 404
5.10.37			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.37/org.wso2.carbon.identity.entitlement.endpoint-5.10.37.jar returned status 404
5.10.38			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.38/org.wso2.carbon.identity.entitlement.endpoint-5.10.38.jar returned status 404
5.10.39			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.39/org.wso2.carbon.identity.entitlement.endpoint-5.10.39.jar returned status 404
5.10.4			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.4/org.wso2.carbon.identity.entitlement.endpoint-5.10.4.jar returned status 404
5.10.40			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.40/org.wso2.carbon.identity.entitlement.endpoint-5.10.40.jar returned status 404
5.10.41			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.41/org.wso2.carbon.identity.entitlement.endpoint-5.10.41.jar returned status 404
5.10.42			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.42/org.wso2.carbon.identity.entitlement.endpoint-5.10.42.jar returned status 404
5.10.43			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.43/org.wso2.carbon.identity.entitlement.endpoint-5.10.43.jar returned status 404
5.10.44			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.44/org.wso2.carbon.identity.entitlement.endpoint-5.10.44.jar returned status 404
5.10.45			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.45/org.wso2.carbon.identity.entitlement.endpoint-5.10.45.jar returned status 404
5.10.46			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.46/org.wso2.carbon.identity.entitlement.endpoint-5.10.46.jar returned status 404
5.10.47			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.47/org.wso2.carbon.identity.entitlement.endpoint-5.10.47.jar returned status 404
5.10.48			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.48/org.wso2.carbon.identity.entitlement.endpoint-5.10.48.jar returned status 404
5.10.49			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.49/org.wso2.carbon.identity.entitlement.endpoint-5.10.49.jar returned status 404
5.10.5			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.5/org.wso2.carbon.identity.entitlement.endpoint-5.10.5.jar returned status 404
5.10.50			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.50/org.wso2.carbon.identity.entitlement.endpoint-5.10.50.jar returned status 404
5.10.51			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.51/org.wso2.carbon.identity.entitlement.endpoint-5.10.51.jar returned status 404
5.10.52			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.52/org.wso2.carbon.identity.entitlement.endpoint-5.10.52.jar returned status 404
5.10.53			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.53/org.wso2.carbon.identity.entitlement.endpoint-5.10.53.jar returned status 404
5.10.54			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.54/org.wso2.carbon.identity.entitlement.endpoint-5.10.54.jar returned status 404
5.10.55			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.55/org.wso2.carbon.identity.entitlement.endpoint-5.10.55.jar returned status 404
5.10.56			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.56/org.wso2.carbon.identity.entitlement.endpoint-5.10.56.jar returned status 404
5.10.57			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.57/org.wso2.carbon.identity.entitlement.endpoint-5.10.57.jar returned status 404
5.10.58			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.58/org.wso2.carbon.identity.entitlement.endpoint-5.10.58.jar returned status 404
5.10.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.59/org.wso2.carbon.identity.entitlement.endpoint-5.10.59.jar returned status 404
5.10.6			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.6/org.wso2.carbon.identity.entitlement.endpoint-5.10.6.jar returned status 404
5.10.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/wso2/carbon/identity/framework/org.wso2.carbon.identity.entitlement.endpoint/5.10.60/org.wso2.carbon.identity.entitlement.endpoint-5.10.60.jar returned status 404
