org.jspecify	allowed
at.hugob.plugin.library	rejected
com.arcadedb	rejected
com.carrotsearch.googlejavaformat	rejected
com.coedotzmagic.qatools	rejected
com.couchbase.client	rejected
com.dua3.cabe	rejected
com.google.appengine	rejected
com.google.googlejavaformat	rejected
com.google.javascript	rejected
com.google.turbine	rejected
com.helger	rejected
com.helger.kaltblut	rejected
de.firemage.autograder	rejected
de.fraunhofer.iem	rejected
de.pirckheimer-gymnasium	rejected
dev.jbang	rejected
dev.zacsweers.metro	rejected
io.aleph0	rejected
io.cryostat	rejected
io.crysknife	rejected
io.crysknife.ui	rejected
io.dropwizard.logback	rejected
io.github.jonasrutishauser.liberty	rejected
io.github.kapimc	rejected
io.github.microguy	rejected
io.github.openfeign.querydsl	rejected
io.github.qhsword.nacosplugins	rejected
io.github.yhkee0404.woowacoursejavaformat	rejected
io.nrbtech.rxandroidble	rejected
io.substrait	rejected
io.telicent.jena.graphql	rejected
org.eximeebpms.bpm	rejected
org.eximeebpms.bpm.qa	rejected
org.jboss.elemento	rejected
org.kie.j2cl.tools.di	rejected
org.kie.j2cl.tools.di.ui	rejected
org.kie.j2cl.tools.json.mapper	rejected
org.kie.j2cl.tools.processors	rejected
org.kie.j2cl.tools.xml.mapper	rejected
org.kie.j2cl.tools.yaml.mapper	rejected
org.nuiton	rejected
org.treblereel.gwt.json.mapper	rejected
org.treblereel.gwt.xml.mapper	rejected
org.treblereel.gwt.yaml.mapper	rejected
org.treblereel.j2cl.processors	rejected
org.wiremock.extensions	rejected
