com.fasterxml.jackson.dataformat	allowed
ai.onehouse	blocked
com.aliyun	blocked
com.atlan	blocked
com.azure.cosmos.spark	blocked
com.commercetools.rmf	blocked
com.feylesoft	blocked
com.github.nagyesta.file-barj	blocked
com.graphhopper	blocked
com.marklogic	blocked
com.pawtograder.org.pitest	blocked
com.sap.cloud.sdk.datamodel	blocked
com.sonalake	blocked
com.sonatype.clm	blocked
com.sonatype.nexus	blocked
com.spectralogic.ds3	blocked
de.julielab	blocked
io.github.shuigedeng	blocked
io.github.wangminan	blocked
io.kestra.plugin	blocked
io.kestra.storage	blocked
it.unibo.alchemist	blocked
it.unibo.coordaas	blocked
org.apache.beam	blocked
org.eclipse.dataspaceconnector	blocked
org.goots.maven.extensions	blocked
org.jetbrains.dokka	blocked
org.pitest	blocked
org.projectnessie.nessie-integrations	blocked
org.sonatype.gradle.plugins	blocked
org.testingisdocumenting.znai	blocked
