0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/anylifezlb/FaceAI/0.0.1/FaceAI-0.0.1.jar returned status 404
1.8.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/anylifezlb/FaceAI/1.8.74/FaceAI-1.8.74.jar returned status 404
2025.06.29			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/anylifezlb/FaceAI/2025.06.29/FaceAI-2025.06.29.jar returned status 404
