2.2	named	com.github.terrytsai	escpos	2019-05-26T17:48:22Z	
2.6.4	named	com.ghgande	j2mod	2020-03-30T19:01:00Z	
2.7.0	named	com.ghgande	j2mod	2020-09-05T14:33:16Z	
3.0.0	named	com.ghgande	j2mod	2021-08-20T18:47:14Z	
3.1.0	named	com.ghgande	j2mod	2022-01-27T00:04:44Z	
3.1.1	named	com.ghgande	j2mod	2022-01-27T01:05:20Z	
3.2.0	named	com.ghgande	j2mod	2023-09-14T11:41:52Z	
3.2.1	named	com.ghgande	j2mod	2024-03-11T20:08:59Z	
3.2.1	named	io.openems	j2mod	2025-02-28T13:34:54Z	
3.2.2-openems.1	named	io.openems	j2mod	2025-05-07T10:24:56Z	
3.2.2-openems.2	named	io.openems	j2mod	2025-11-05T11:27:12Z	2.11.4
