1.10.0		2021-06-27T15:34:47Z	
1.10.0-ALPHA1		2021-06-10T17:00:13Z	
1.10.0-RC1		2021-06-22T13:07:21Z	
1.10.1		2021-07-27T09:07:03Z	
1.11.0		2021-10-28T12:05:21Z	
1.11.0-RC-1		2021-08-31T21:27:00Z	
1.11.1		2021-11-14T18:46:07Z	
1.12.0		2022-07-08T12:04:01Z	
1.12.0-M1		2022-03-22T09:44:40Z	
1.12.1		2022-11-04T14:29:35Z	
1.12.2		2022-11-09T10:10:25Z	
1.2		2016-12-31T13:47:23Z	
1.2-RC1		2016-10-26T06:29:28Z	
1.3		2017-05-12T04:38:52Z	
1.4		2018-05-31T23:12:40Z	
1.5-RC-1		2018-09-21T07:27:42Z	
1.5.0		2018-10-16T18:56:48Z	
1.6.0		2018-12-05T00:55:41Z	
1.6.0-RC1		2018-11-24T00:22:06Z	
1.7.0		2019-09-28T13:23:41Z	
1.7.0-MS1		2019-01-27T21:47:20Z	
1.7.0-MS2		2019-02-28T17:01:02Z	
1.7.0-MS3		2019-03-02T00:07:13Z	
1.7.0-RC1		2019-09-21T07:12:48Z	
1.8.0		2020-01-26T15:59:10Z	
1.8.0-MS1		2019-11-30T11:23:12Z	
1.9.0		2020-11-25T08:45:57Z	
1.9.0-ALPHA1		2020-05-19T19:22:57Z	
1.9.0-ALPHA2		2020-06-22T20:20:36Z	
1.9.0-RC1		2020-10-28T21:23:44Z	
1.9.1		2021-02-25T09:09:58Z	
