1.29	named	org.codehaus.plexus	plexus-interpolation	2025-11-07T17:46:40Z	1.29
1.2.2	named	me.chrissw-r1	deploy-pom-maven-plugin	2025-11-27T16:28:19Z	1.29
1.2.3	named	me.chrissw-r1	deploy-pom-maven-plugin	2025-12-16T15:09:44Z	1.29
1.2.1	named	me.chrissw-r1	multi-module-maven-plugin	2025-12-19T14:00:17Z	1.29
1.2.4	named	me.chrissw-r1	deploy-pom-maven-plugin	2025-12-19T14:01:09Z	1.29
1.2.2	named	me.chrissw-r1	multi-module-maven-plugin	2025-12-20T13:29:21Z	1.29
1.2.5	named	me.chrissw-r1	deploy-pom-maven-plugin	2025-12-20T13:29:35Z	1.29
