10.0		2021-06-16T19:41:59Z	
10.1		2021-07-14T22:31:40Z	
10.10		2022-03-22T23:06:47Z	
10.11		2022-03-23T00:49:34Z	
10.12		2022-04-21T20:23:29Z	
10.2		2021-08-18T22:11:01Z	
10.3		2021-09-15T18:38:38Z	
10.4		2021-10-14T04:00:10Z	
10.5		2021-11-10T19:19:50Z	
10.6		2021-12-14T02:10:21Z	
10.7		2022-01-08T03:28:23Z	
10.8		2022-01-10T14:47:15Z	
10.9		2022-03-22T21:36:16Z	
11.0		2022-01-19T18:22:50Z	
11.1		2022-01-19T20:27:01Z	
11.10		2022-09-28T20:44:30Z	
11.11		2022-09-21T15:51:40Z	
11.2		2022-01-19T22:28:21Z	
11.3		2022-01-20T00:22:33Z	
11.4		2022-02-16T16:36:03Z	
11.5		2022-03-29T17:44:51Z	
11.6		2022-04-21T22:52:57Z	
11.7		2022-05-18T15:36:34Z	
11.8		2022-09-23T04:56:48Z	
11.9		2022-09-28T23:39:53Z	
12.0		2022-06-15T16:07:48Z	
12.1		2022-07-20T16:33:06Z	
12.11		2023-05-19T06:02:07Z	
12.12		2023-08-05T07:10:44Z	
12.13		2023-08-08T17:50:22Z	
12.2		2022-09-28T17:39:38Z	
12.3		2022-09-27T03:56:55Z	
12.5		2022-11-16T20:42:59Z	
12.6		2022-12-14T23:19:11Z	
12.7		2023-01-25T01:12:32Z	
12.8		2023-02-20T11:39:27Z	
12.9		2023-03-16T18:10:27Z	
13.0		2022-12-14T20:29:07Z	
13.1		2023-01-18T21:52:47Z	
13.10		2023-08-23T15:51:02Z	
13.11		2024-04-05T15:41:41Z	
13.12		2023-10-18T20:44:26Z	
13.2		2023-02-15T16:45:47Z	
13.4		2023-03-21T13:50:24Z	
13.6		2023-05-26T15:36:17Z	
13.7		2023-06-14T16:34:32Z	
13.8		2023-08-06T03:28:01Z	
14.0		2023-06-22T14:13:07Z	
14.1		2023-07-13T13:55:42Z	
14.10		2024-04-13T05:15:42Z	
14.11		2024-04-17T04:52:35Z	
14.12		2024-06-19T19:15:01Z	
14.13		2024-06-19T18:30:22Z	
14.2		2023-08-09T10:34:17Z	
14.3		2023-08-23T16:32:07Z	
14.5		2023-11-16T21:37:07Z	
14.6		2024-04-05T17:04:22Z	
14.7		2024-04-05T20:34:14Z	
14.8		2024-04-11T04:31:41Z	
14.9		2024-04-12T21:43:14Z	
15.0		2024-04-11T04:27:04Z	
15.1		2024-04-08T21:45:34Z	
15.10		2024-10-18T16:45:28Z	
15.11		2024-10-18T17:28:12Z	
15.12		2024-11-22T23:02:49Z	
15.13		2024-12-17T17:47:18Z	
15.2		2024-04-12T19:58:58Z	
15.3		2024-04-12T21:40:02Z	
15.4		2024-04-19T04:43:17Z	
15.5		2024-06-19T17:44:56Z	
15.6		2024-06-20T20:56:20Z	
15.7		2024-07-16T23:53:49Z	
15.8		2024-08-13T16:04:51Z	
15.9		2024-08-16T17:48:46Z	
16.0		2024-06-19T17:47:51Z	
16.1		2024-07-02T21:55:10Z	
16.10		2025-04-04T22:27:59Z	
16.2		2024-07-30T22:43:20Z	
16.3		2024-08-15T22:31:14Z	
16.4		2024-08-15T21:55:35Z	
16.5		2024-10-18T16:10:44Z	
16.6		2024-10-18T16:48:25Z	
16.7		2024-11-22T22:59:36Z	
16.8		2025-01-23T04:13:18Z	
16.9		2025-02-07T13:21:30Z	
18.5		2026-01-29T20:54:47Z	
6.6		2019-08-20T21:14:23Z	
7.2		2019-08-21T22:03:37Z	
7.3		2020-03-11T20:45:25Z	
7.4		2019-11-21T20:06:18Z	
7.5		2020-03-10T23:04:24Z	
7.6		2020-03-10T17:14:55Z	
7.7		2020-05-08T03:23:53Z	
7.8		2020-10-15T16:09:34Z	
7.9		2021-02-08T20:33:35Z	
8.0		2020-03-10T21:12:47Z	
8.1		2020-03-09T21:15:13Z	
8.10		2021-01-20T23:04:14Z	
8.11		2021-04-06T20:49:56Z	
8.3		2020-03-26T21:32:13Z	
8.4		2020-05-22T20:08:32Z	
8.5		2020-10-13T22:20:48Z	
8.6		2020-10-13T21:32:47Z	
8.7		2020-10-13T18:14:32Z	
8.8		2021-02-08T18:50:22Z	
8.9		2021-01-21T00:11:48Z	
9.0		2021-01-15T00:14:31Z	
9.1		2021-01-13T23:24:04Z	
9.10		2021-12-14T03:53:38Z	
9.11		2021-12-21T17:53:33Z	
9.12		2021-12-21T19:19:37Z	
9.2		2021-03-09T20:33:30Z	
9.3		2021-04-06T22:06:42Z	
9.4		2021-05-10T18:17:03Z	
9.5		2021-05-19T23:02:26Z	
9.6		2021-06-16T18:11:30Z	
9.7		2021-07-19T15:18:15Z	
9.9		2021-10-14T17:12:16Z	
