1.3.0		2014-06-12T21:16:53Z	
1.3.0-beta10		2013-11-11T07:38:15Z	
1.3.0-beta11		2013-11-14T21:04:27Z	
1.3.0-beta12		2013-12-03T14:51:29Z	
1.3.0-beta13		2014-01-09T14:31:39Z	
1.3.0-beta14		2014-01-16T14:40:10Z	
1.3.0-beta15		2014-03-17T22:14:14Z	
1.3.0-beta16		2014-04-29T16:27:04Z	
1.3.0-beta17		2014-04-29T17:30:57Z	
1.3.0-beta18		2014-05-09T14:45:24Z	
1.3.0-beta19		2014-05-12T19:43:11Z	
1.3.0-beta20		2014-05-13T08:06:02Z	
1.3.0-beta21		2014-05-20T06:16:31Z	
1.3.0-beta22		2014-05-27T14:45:21Z	
1.3.0-beta23		2014-05-28T12:58:50Z	
1.3.0-beta3		2013-09-01T20:22:13Z	
1.3.0-beta4		2013-09-08T19:19:57Z	
1.3.0-beta5		2013-09-09T14:39:33Z	
1.3.0-beta6		2013-09-09T18:49:11Z	
1.3.0-beta7		2013-09-11T17:12:19Z	
1.3.0-beta8		2013-10-14T08:31:07Z	
1.3.0-beta9		2013-11-08T14:12:44Z	
1.3.0-cr1		2014-05-28T13:42:11Z	
1.3.0-cr2		2014-05-30T15:41:45Z	
1.3.0-cr3		2014-05-31T14:26:59Z	
1.3.0-cr4		2014-06-01T18:27:28Z	
1.3.0-cr5		2014-06-03T14:38:51Z	
1.3.0-cr6		2014-06-04T07:44:53Z	
1.3.0-cr7		2014-06-06T13:07:23Z	
1.3.0-cr8		2014-06-11T16:09:18Z	
1.3.1		2015-02-06T09:56:51Z	
1.3.2		2015-10-08T05:12:48Z	
