org.slf4j	allowed
ai.superstream	rejected
au.net.causal.spring-boot-keepassxc-property-agent	rejected
be.atbash.runtime.api	rejected
be.ugent.idlab.knows	rejected
be.ugent.rml	rejected
be.unamur.info	rejected
be.vito.rma.standalonetools	rejected
br.com.leverinfo	rejected
ch.exense.step	rejected
ch.exense.step.library	rejected
ch.hsr.adv	rejected
ch.vorburger.mariaDB4j	rejected
club.gclmit	rejected
co.elastic.otel	rejected
com.aeontronix.enhanced-mule	rejected
com.alibaba.ververica	rejected
com.aliyun	rejected
com.amazonaws	rejected
com.apimetry	rejected
com.applitools	rejected
com.arangodb	rejected
com.arcadedb	rejected
com.atlan	rejected
com.aurelian2842.jarflow	rejected
com.bloxbean.cardano	rejected
com.brightsparklabs	rejected
com.bytes-pot	rejected
com.conaxgames	rejected
com.credibledoc	rejected
com.danielflower.apprunner	rejected
com.databricks	rejected
com.diffusiondata.diffusion	rejected
com.documents4j	rejected
com.dtstep.lighthouse	rejected
com.eischet.janitor	rejected
com.erudika	rejected
com.exaroton	rejected
com.fathzer	rejected
com.fizzed	rejected
com.g2forge.project	rejected
com.github.biyanwen	rejected
com.github.bld-commons	rejected
com.github.cafapi	rejected
com.github.cafapi.common	rejected
com.github.funthomas424242	rejected
com.github.kaklakariada	rejected
com.github.kwart.mvnquery	rejected
com.github.nhenneaux.jersey.jetty.http2	rejected
com.github.piotrkot.http	rejected
com.github.rahulsom	rejected
com.github.tomcat-slf4j-logback	rejected
com.github.toolarium	rejected
com.github.yvasyliev	rejected
com.github.zhkl0228	rejected
com.google.appengine	rejected
com.google.cloud	rejected
com.goterl	rejected
com.graqr	rejected
com.guicedee.services	rejected
com.guinetik	rejected
com.ibm.cloud	rejected
com.ibm.mdfromhtml.services	rejected
com.ibm.whitelistmasker	rejected
com.imsweb	rejected
com.io7m.blockhead	rejected
com.io7m.changelog	rejected
com.io7m.coffeepick	rejected
com.io7m.flail	rejected
com.io7m.jnoisetype	rejected
com.io7m.jobj	rejected
com.io7m.jsay	rejected
com.io7m.jspiel	rejected
com.io7m.mesquida	rejected
com.io7m.pallene	rejected
com.io7m.sigiltron	rejected
com.io7m.smfj	rejected
com.ionutbanu	rejected
com.jcabi	rejected
com.jd.live	rejected
com.jkoolcloud.tnt4j.stream	rejected
com.joliciel.ljtrad	rejected
com.labs64.netlicensing	rejected
com.launchdarkly	rejected
com.mageddo.csv2jdbc	rejected
com.netgrif	rejected
com.networknt	rejected
