7.3.3	named	org.cloudsimplus	cloudsim-plus-automation	2023-03-16T12:41:47Z	2.0.4
1.1.0	named	io.camunda.connector	office-to-pdf	2024-01-26T00:36:43Z	2.0.9
1.1.0	named	io.camunda.connector	pdf	2024-04-20T00:21:29Z	2.0.9
