3.0.00	named	org.sentrysoftware	jawk	2023-12-14T22:20:13Z	2.0.7
3.0.01	named	org.sentrysoftware	jawk	2023-12-22T16:17:35Z	2.0.7
3.1.00	named	org.sentrysoftware	jawk	2024-01-16T23:58:06Z	2.0.11
3.1.01	named	org.sentrysoftware	jawk	2024-01-17T16:01:49Z	2.0.11
3.1.02	named	org.sentrysoftware	jawk	2024-01-18T15:18:39Z	2.0.11
3.2.00	named	org.sentrysoftware	jawk	2024-02-01T14:27:26Z	2.0.11
3.3.00	named	org.sentrysoftware	jawk	2024-02-04T23:20:55Z	2.0.11
3.3.01	named	org.sentrysoftware	jawk	2024-08-09T15:40:55Z	2.0.15
3.3.02	named	org.sentrysoftware	jawk	2024-08-09T19:44:17Z	2.0.15
3.3.03	named	org.sentrysoftware	jawk	2024-08-29T20:40:43Z	2.0.16
3.3.04	named	org.sentrysoftware	jawk	2025-02-13T16:33:33Z	2.0.16
3.0.05	named	org.metricshub	jawk	2025-04-03T12:47:38Z	2.0.16
3.3.05	named	org.metricshub	jawk	2025-04-03T12:56:46Z	2.0.16
4.0.00	named	org.metricshub	jawk	2025-07-29T19:26:47Z	2.0.17
4.0.01	named	org.metricshub	jawk	2025-08-08T19:42:07Z	2.0.17
1.0.0	named	io.github.mm-asraf	jol-memory-analyser	2026-05-09T19:53:46Z	2.0.12
1.0.1	named	io.github.mm-asraf	jol-memory-analyser	2026-05-10T05:56:19Z	2.0.12
1.0.0	named	io.atlasarc	atlasarc-ci	2026-07-20T20:41:40Z	2.0.17
1.1.0	named	io.atlasarc	atlasarc-ci	2026-07-21T05:37:39Z	2.0.17
1.2.0	named	io.atlasarc	atlasarc-ci	2026-07-21T06:58:24Z	2.0.17
1.3.0	named	io.atlasarc	atlasarc-ci	2026-07-21T16:49:41Z	2.0.17
1.4.0	named	io.atlasarc	atlasarc-ci	2026-07-29T05:50:04Z	2.0.17
1.4.1	named	io.atlasarc	atlasarc-ci	2026-08-10T14:34:06Z	2.0.18
