2.7.170608			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/dirigible/releng/allinone/2.7.170608/allinone-2.7.170608.jar returned status 404
2.8.170821			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/org/eclipse/dirigible/releng/allinone/2.8.170821/allinone-2.8.170821.jar returned status 404
2.8.170821	exec-war	2017-08-21T10:25:04Z	
