0.1.0	named	dev.cereza	cereza	2022-04-17T07:39:59Z	2.0.0-alpha7
0.2.0	named	com.helixframework	helix-agent-mcp	2026-03-10T00:46:12Z	2.0.13
0.2.0	named	com.helixframework	helix-cli	2026-03-10T00:46:12Z	2.0.13
0.3.0	named	com.helixframework	helix-agent-mcp	2026-03-16T21:08:13Z	2.0.13
0.3.0	named	com.helixframework	helix-cli	2026-03-16T21:08:14Z	2.0.13
