25.0.1	com.github.almasb	fxgl-gameplay	25.0.1
25	com.github.almasb	fxgl-gameplay	25
21.1	com.github.almasb	fxgl-gameplay	21.1
21	com.github.almasb	fxgl-gameplay	21
17.3	com.github.almasb	fxgl-gameplay	17.3
17.2	com.github.almasb	fxgl-gameplay	17.2
17.1	com.github.almasb	fxgl-gameplay	17.1
17	com.github.almasb	fxgl-gameplay	17
11.17	com.github.almasb	fxgl-gameplay	11.17
11.16	com.github.almasb	fxgl-gameplay	11.16
11.15	com.github.almasb	fxgl-gameplay	11.15
