0.15.1	com.github.gv2011	gsoncore	0.15.1
0.15	com.github.gv2011	gsoncore	0.15
0.14	com.github.gv2011	gsoncore	0.14
0.13	com.github.gv2011	gsoncore	0.13
0.12	com.github.gv2011	gsoncore	0.12
0.11	com.github.gv2011	gsoncore	0.11
0.10	com.github.gv2011	gsoncore	0.10
0.9	com.github.gv2011	gsoncore	0.9
