0.0.1			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.1/spring-javaformat-eclipse-0.0.1.jar returned status 404
0.0.10			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.10/spring-javaformat-eclipse-0.0.10.jar returned status 404
0.0.11			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.11/spring-javaformat-eclipse-0.0.11.jar returned status 404
0.0.12			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.12/spring-javaformat-eclipse-0.0.12.jar returned status 404
0.0.13			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.13/spring-javaformat-eclipse-0.0.13.jar returned status 404
0.0.14			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.14/spring-javaformat-eclipse-0.0.14.jar returned status 404
0.0.15			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.15/spring-javaformat-eclipse-0.0.15.jar returned status 404
0.0.17			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.17/spring-javaformat-eclipse-0.0.17.jar returned status 404
0.0.18			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.18/spring-javaformat-eclipse-0.0.18.jar returned status 404
0.0.19			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.19/spring-javaformat-eclipse-0.0.19.jar returned status 404
0.0.2			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/spring/javaformat/spring-javaformat-eclipse/0.0.2/spring-javaformat-eclipse-0.0.2.jar returned status 404
