com.google.inject.extensions	allowed
ca.stellardrift.guice-backport.extensions	blocked
com.jwebmp.inject.extensions	blocked
io.forestframework	blocked
org.sonatype.sisu.inject	blocked
ru.vyarus.guice.jakarta	blocked
