com.google.j2objc	allowed
com.apivolve	blocked
com.diozero	blocked
com.google.api	blocked
com.google.cloud	blocked
com.intergral.deep	blocked
com.jd.live	blocked
com.scylladb	blocked
com.yugabyte	blocked
de.arbeitsagentur.opdt	blocked
de.cau.cs.kieler	blocked
dev.zacsweers.metro	blocked
io.dingodb	blocked
io.edurt.datacap	blocked
io.github.erroraway	blocked
io.github.mrdolch.formatter	blocked
io.telicent	blocked
nl.markv	blocked
org.apache.cassandra	blocked
org.apache.pinot	blocked
org.liquibase.ext	blocked
