0.11	named	org.meeuw	mihxil-es	2024-09-06T10:43:14Z	2.23.1
2.2.3	named	app.freerouting	freerouting	2026-05-08T14:18:33Z	2.26.0
2.2.4	named	app.freerouting	freerouting	2026-05-13T13:38:56Z	2.26.0
