$%7BparsedVersion.majorVersion%7D.$%7BparsedVersion.minorVersion%7D.jre8			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/fslev/cucumber-jutils/$%7BparsedVersion.majorVersion%7D.$%7BparsedVersion.minorVersion%7D.jre8/cucumber-jutils-$%7BparsedVersion.majorVersion%7D.$%7BparsedVersion.minorVersion%7D.jre8.jar returned status 404
10.0		2026-05-07T08:25:47Z	
6.0		2020-08-04T15:24:10Z	
6.1		2020-10-02T07:57:48Z	
6.10		2020-11-09T10:00:08Z	
6.11		2020-11-09T10:32:48Z	
6.12		2020-11-13T10:03:35Z	
6.13		2020-11-24T13:53:58Z	
6.14		2020-11-26T16:20:35Z	
6.15		2020-12-02T11:00:55Z	
6.16		2020-12-02T19:38:18Z	
6.17		2020-12-02T19:50:22Z	
6.18		2020-12-04T16:46:42Z	
6.19		2020-12-10T10:51:58Z	
6.2		2020-10-13T13:14:19Z	
6.20		2020-12-11T16:34:39Z	
6.21		2020-12-17T11:40:29Z	
6.22		2020-12-17T13:24:46Z	
6.23		2020-12-17T17:18:56Z	
6.24		2020-12-18T09:30:19Z	
6.25		2020-12-24T09:58:03Z	
6.26		2020-12-24T10:00:10Z	
6.26.0.jre8		2020-12-29T11:31:27Z	
6.27.jre8		2020-12-29T11:44:03Z	
6.28		2020-12-29T12:29:42Z	
6.28.jre8		2020-12-29T12:27:33Z	
6.29		2020-12-29T13:09:59Z	
6.29.jre8		2020-12-29T13:07:48Z	
6.3		2020-10-13T14:05:36Z	
6.30.jre8		2020-12-29T13:22:10Z	
6.31.jre8		2020-12-29T14:43:22Z	
6.32.jre8		2020-12-29T14:49:55Z	
6.33		2020-12-29T18:01:44Z	
6.33.jre8		2020-12-29T17:58:46Z	
6.34		2020-12-30T09:08:23Z	
6.35		2020-12-31T09:22:41Z	
6.36		2021-01-26T12:24:11Z	
6.37		2021-02-15T08:51:25Z	
6.38		2021-02-26T17:00:26Z	
6.4		2020-10-13T20:15:57Z	
6.40		2021-03-05T17:46:56Z	
6.41		2021-03-07T17:04:54Z	
6.42		2021-03-10T13:35:32Z	
6.43		2021-03-14T20:43:16Z	
6.44		2021-03-16T10:11:19Z	
6.45		2021-03-16T10:29:58Z	
6.46		2021-03-16T11:16:40Z	
6.47		2021-03-23T15:52:55Z	
6.48		2021-04-01T09:19:46Z	
6.49		2021-04-05T09:24:55Z	
6.5		2020-10-14T08:49:21Z	
6.51		2021-04-15T16:20:22Z	
6.52		2021-04-29T12:40:41Z	
6.53		2021-04-29T12:53:02Z	
6.54		2021-05-19T13:55:03Z	
6.55		2021-05-20T11:58:12Z	
6.56		2021-05-20T14:43:31Z	
6.57		2021-05-21T09:50:39Z	
6.58		2021-05-21T11:06:48Z	
6.59		2021-05-23T08:08:59Z	
6.6		2020-10-15T15:09:51Z	
6.60		2021-05-23T08:13:20Z	
6.62		2021-05-25T10:03:16Z	
6.63		2021-05-25T10:44:40Z	
6.64		2021-05-25T11:01:44Z	
6.65		2021-05-27T15:00:58Z	
6.66		2021-05-28T08:09:58Z	
6.67		2021-06-04T12:34:27Z	
6.68		2021-06-25T09:10:26Z	
6.69		2021-07-01T14:44:34Z	
6.7		2020-10-16T16:48:21Z	
6.70		2021-07-07T09:02:32Z	
6.71		2021-07-16T14:08:31Z	
6.72		2021-07-30T21:54:07Z	
6.73		2021-07-31T14:27:21Z	
6.74		2021-08-04T14:26:02Z	
6.75		2021-09-03T09:08:06Z	
6.76		2021-10-10T14:10:26Z	
6.8		2020-11-05T17:27:45Z	
6.9		2020-11-06T11:09:15Z	
7.0		2021-10-21T21:20:32Z	
7.1		2021-11-04T10:44:24Z	
7.10		2022-02-21T14:44:43Z	
7.11		2022-02-28T15:51:48Z	
7.12		2022-03-01T11:00:37Z	
7.13		2022-03-03T22:24:39Z	
7.14		2022-04-06T14:58:57Z	
7.15		2022-04-07T08:13:32Z	
7.2		2021-11-15T14:52:29Z	
7.3		2021-11-26T12:43:14Z	
7.4		2021-12-02T10:10:15Z	
7.5		2021-12-17T08:23:19Z	
7.6		2021-12-17T19:40:38Z	
7.7		2021-12-21T14:13:57Z	
7.8		2022-01-31T11:33:20Z	
7.9		2022-02-17T15:18:50Z	
8.0		2022-04-12T09:47:55Z	
8.1		2022-04-12T15:42:20Z	
8.10		2022-10-05T14:39:21Z	
8.11		2022-10-17T10:35:53Z	
8.2		2022-05-28T13:05:05Z	
8.3		2022-06-15T14:51:25Z	
8.4		2022-07-23T15:30:29Z	
8.5		2022-07-29T10:18:31Z	
8.6		2022-08-09T09:01:56Z	
8.7		2022-08-09T20:30:06Z	
8.8		2022-09-18T10:03:58Z	
8.9		2022-10-04T17:17:00Z	
9.0		2022-10-16T12:58:40Z	
9.1		2022-10-31T14:36:34Z	
9.10		2023-01-10T19:53:14Z	
9.11		2023-04-26T13:32:49Z	
9.12		2023-04-27T15:31:46Z	
9.13		2023-06-06T06:39:06Z	
9.14		2023-09-15T11:25:20Z	
9.15		2023-11-15T15:50:42Z	
9.16		2023-11-16T08:43:18Z	
9.17		2023-11-26T17:18:42Z	
9.18		2023-12-05T09:48:50Z	
9.19		2024-03-22T14:54:07Z	
9.2		2022-11-11T15:17:09Z	
9.20		2024-04-08T09:41:20Z	
9.21		2024-05-22T08:31:41Z	
9.22		2024-09-20T08:14:57Z	
9.23		2024-09-26T09:04:51Z	
9.24		2024-09-26T13:17:35Z	
9.25		2025-03-26T08:55:19Z	
9.26		2025-03-26T09:06:31Z	
9.27		2025-03-28T19:19:39Z	
9.28		2025-08-01T14:53:07Z	
9.29		2025-11-10T16:00:40Z	
9.3		2022-11-14T16:11:52Z	
9.4		2022-11-18T14:40:16Z	
9.5		2022-11-19T19:50:43Z	
9.6		2022-11-24T11:17:00Z	
9.7		2022-11-27T18:00:49Z	
9.8		2022-12-22T13:26:32Z	
9.9		2022-12-31T15:34:59Z	
