0.7.9	named	org.monarchinitiative.fenominal	fenominal-cli	2023-03-28T13:25:41Z	0.7.9
0.7.10	named	org.monarchinitiative.fenominal	fenominal-cli	2023-07-27T21:02:52Z	0.7.10
0.7.11	named	org.monarchinitiative.fenominal	fenominal-cli	2024-01-25T22:02:14Z	0.7.11
